연번,보호구역아이디,시설종류,대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,데이터기준일자,이미지명,비고
"11",성남-01-011,초등학교,분당초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 중앙공원로32번길 20,경기도 성남시 분당구 서현동 92-1,37.3788270000,127.1294930000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-31",성남-01-011-B-01.jpeg,""
"12",성남-01-012,초등학교,성남여수초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 여수울로 37,경기도 성남시 중원구 여수동 577,37.4196570000,127.1329780000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"5","2022-07-27",성남-01-012-B-01.jpeg,""
"13",성남-01-013,초등학교,탄천초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 내정로 20,경기도 성남시 분당구 정자동 195,37.3618930000,127.1156340000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-17",성남-01-013-B-01.jpeg,""
"14",성남-01-014,초등학교,하탑초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 양현로 262,경기도 성남시 분당구 야탑동 531,37.4074110000,127.1262560000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"1","2022-08-31",성남-01-014-B-01.jpeg,""
"15",성남-01-015,초등학교,늘푸른초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 정자일로 87,경기도 성남시 분당구 정자동 178-5,37.3581640000,127.1052460000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-25",성남-01-015-B-01.jpeg,""
"16",성남-01-016,초등학교,보평초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 동판교로 154,경기도 성남시 분당구 삼평동 743,37.3957040000,127.1179220000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"6","2022-07-27",성남-01-016-B-01.jpeg,""
"17",성남-01-017,초등학교,산운초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 판교원로117번길 11,경기도 성남시 분당구 운중동 927,37.3897530000,127.0790050000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"9","2022-09-02",성남-01-017-B-01.jpeg,""
"18",성남-01-018,초등학교,운중초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 운중로45번길 8,경기도 성남시 분당구 운중동 893,37.3922990000,127.0688690000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"10","2022-09-01",성남-01-018-B-01.jpeg,""
"19",성남-01-019,초등학교,낙생초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 서판교로74번길 11,경기도 성남시 분당구 판교동 551,37.3943570000,127.0989140000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"12","2022-08-25",성남-01-019-B-01.jpeg,""
"20",성남-01-020,초등학교,신백현초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 판교역로14번길 42,경기도 성남시 분당구 백현동 559,37.3872110000,127.1119690000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-11",성남-01-020-B-01.jpeg,""
"21",성남-01-021,초등학교,성남화랑초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 동판교로 77,경기도 성남시 분당구 백현동 547,37.3899120000,127.1160210000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"1","2022-08-29",성남-01-021-B-01.jpeg,""
"22",성남-01-022,초등학교,성남은행초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 순환로447번길 11,경기도 성남시 중원구 은행동 652,37.4611620000,127.1705770000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"4","2022-08-04",성남-01-022-B-01.jpeg,""
"23",성남-01-023,초등학교,성남중앙초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 원터로94번길 7,경기도 성남시 중원구 성남동 2580,37.4363290000,127.1436550000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"5","2022-08-26",성남-01-023-B-01.jpeg,""
"24",성남-01-024,초등학교,단남초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 광명로300번길 25,경기도 성남시 중원구 금광동 210,37.4424090000,127.1613790000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"2","2022-08-22",성남-01-024-B-01.jpeg,""
"25",성남-01-025,초등학교,대원초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 희망로343번길 24,경기도 성남시 중원구 상대원동 4251,37.4371310000,127.1549730000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"6","2022-08-31",성남-01-025-B-01.jpeg,""
"26",성남-01-026,초등학교,대일초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 금상로58번길 22,경기도 성남시 중원구 상대원동 2511,37.4384680000,127.1641850000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"3","2022-08-11",성남-01-026-B-01.jpeg,""
"27",성남-01-027,초등학교,대하초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 시민로 14,경기도 성남시 중원구 하대원동 167-2,37.4316460000,127.1516040000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"3","2022-09-02",성남-01-027-B-01.jpeg,""
"28",성남-01-028,초등학교,성남제일초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 광명로184번길 23,경기도 성남시 중원구 중앙동 2970,37.4384960000,127.1495970000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"2","2022-08-31",성남-01-028-B-01.jpeg,""
"29",성남-01-029,초등학교,성남북초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 희망로534번길 3,경기도 성남시 수정구 산성동 2137,37.4515010000,127.1514740000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"6","2022-08-17",성남-01-029-B-01.jpeg,""
"30",성남-01-030,초등학교,성남수정초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 제일로123번길 9,경기도 성남시 수정구 수진동 4347,37.4365370000,127.1320130000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"6","2022-08-11",성남-01-030-B-01.jpeg,""
"31",성남-01-031,초등학교,수진초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 탄리로95번길 16,경기도 성남시 수정구 태평동 3756,37.4445830000,127.1330280000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"10","2022-09-01",성남-01-031-B-01.jpeg,""
"32",성남-01-032,초등학교,희망대초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 공원로370번길 29,경기도 성남시 수정구 신흥동 1232,37.4474190000,127.1486510000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"5","2022-08-11",성남-01-032-B-01.jpeg,""
"33",성남-01-033,초등학교,성남서초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 태평로 19,경기도 성남시 수정구 태평동 5090-1,37.4486480000,127.1293070000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"4","2022-08-11",성남-01-033-B-01.jpeg,""
"34",성남-01-034,초등학교,성남신흥초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 공원로436번길 17,경기도 성남시 수정구 신흥동 47-3,37.4506060000,127.1434810000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"2","2022-08-29",성남-01-034-B-01.jpeg,""
"35",성남-01-035,초등학교,단대초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 단대로 30,경기도 성남시 수정구 단대동 77,37.4536110000,127.1577480000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"9","2022-08-04",성남-01-035-B-01.jpeg,""
"36",성남-01-036,초등학교,복정초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 성남대로1480번길 25,경기도 성남시 수정구 복정동 665,37.4621780000,127.1296330000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"6","2022-08-25",성남-01-036-B-01.jpeg,""
"37",성남-01-037,초등학교,성남양지초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 논골로36번길 33,경기도 성남시 수정구 양지동 386,37.4598110000,127.1618490000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"3","2022-08-29",성남-01-037-B-01.jpeg,""
"38",성남-01-038,초등학교,위례고운초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 위례순환로 155,경기도 성남시 수정구 창곡동 511,37.4715390000,127.1456690000,경기도 성남시청,"031-729-3672",성남수정경찰서,N,"0","2022-08-25",성남-01-038-B-01.jpeg,""
"39",성남-01-039,초등학교,위례한빛초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 위례동로 55,경기도 성남시 수정구 창곡동 570,37.4657660000,127.1470170000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"1","2022-09-01",성남-01-039-B-01.jpeg,""
"40",성남-01-040,초등학교,위례푸른초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 위례순환로 205,경기도 성남시 수정구 창곡동 518,37.4708590000,127.1508840000,경기도 성남시청,"031-729-3672",성남수정경찰서,N,"0","2022-08-25",성남-01-040-B-01.jpeg,""
"41",성남-01-041,초등학교,위례중앙초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 위례순환로 71,경기도 성남시 수정구 창곡동 502,37.4721080000,127.1359040000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"1","2022-08-25",성남-01-041-B-01.jpeg,""
"42",성남-01-042,초등학교,금상초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 금상로 97,경기도 성남시 중원구 금광동 1645,37.4435990000,127.1659950000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"9","2022-08-17",성남-01-042-B-01.jpeg,"운영시각(08:00~09:00,12:00~15:00, 휴교일제외)"
"43",성남-01-043,초등학교,상원초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 은행로 6,경기도 성남시 중원구 은행동 421,37.4538250000,127.1629980000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"5","2022-08-29",성남-01-043-B-01.jpeg,""
"44",성남-01-044,초등학교,불정초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 돌마로 250,경기도 성남시 분당구 정자동 203,37.3619610000,127.1199010000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-26",성남-01-044-B-01.jpeg,""
"45",성남-01-045,초등학교,상탑초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 판교로 647,경기도 성남시 분당구 야탑동 161,37.4063910000,127.1457310000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"2","2022-09-01",성남-01-045-B-01.jpeg,""
"46",성남-01-046,초등학교,서현초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 중앙공원로39번길 12,경기도 성남시 분당구 서현동 87-1,37.3826570000,127.1287160000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-22",성남-01-046-B-01.jpeg,""
"47",성남-01-047,초등학교,성남신기초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 황새울로 74,경기도 성남시 분당구 정자동 89,37.3670820000,127.1104970000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-11",성남-01-047-B-01.jpeg,""
"48",성남-01-048,초등학교,성남장안초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 장안로51번길 10,경기도 성남시 분당구 분당동 91,37.3724110000,127.1443680000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-17",성남-01-048-B-01.jpeg,""
"49",성남-01-049,초등학교,안말초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 양현로 104,경기도 성남시 분당구 이매동 118,37.3932960000,127.1259520000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"2","2022-08-11",성남-01-049-B-01.jpeg,""
"50",성남-01-050,초등학교,야탑초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 양현로 400,경기도 성남시 분당구 야탑동 333,37.4165150000,127.1258120000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"8","2022-07-27",성남-01-050-B-01.jpeg,""
"51",성남-01-051,초등학교,오리초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 미금로 121,경기도 성남시 분당구 구미동 115,37.3443510000,127.1153790000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-17",성남-01-051-B-01.jpeg,""
"52",성남-01-052,초등학교,이매초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 양현로 146,경기도 성남시 분당구 이매동 112,37.3970610000,127.1261370000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"2","2022-07-27",성남-01-052-B-01.jpeg,""
"53",성남-01-053,초등학교,청솔초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 금곡로 243,경기도 성남시 분당구 금곡동 131,37.3542610000,127.1138860000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-25",성남-01-053-B-01.jpeg,""
"54",성남-01-054,초등학교,당촌초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 분당로 196,경기도 성남시 분당구 분당동 36,37.3737910000,127.1310840000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-31",성남-01-054-B-01.jpeg,""
"55",성남-01-055,초등학교,한솔초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 돌마로 303,경기도 성남시 분당구 정자동 113,37.3669420000,127.1179690000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"1","2022-08-26",성남-01-055-B-01.jpeg,""
"56",성남-01-056,초등학교,수내초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 백현로243번길 12,경기도 성남시 분당구 수내동 81,37.3677650000,127.1246630000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-22",성남-01-056-B-01.jpeg,""
"57",성남-01-057,초등학교,성남송현초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 동판교로 258,경기도 성남시 분당구 삼평동 710,37.4054580000,127.1163460000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"5","2022-09-02",성남-01-057-B-01.jpeg,""
"58",성남-01-058,초등학교,판교초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 판교원로 231,경기도 성남시 분당구 판교동 636,37.3870280000,127.0916830000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"5","2022-09-01",성남-01-058-B-01.jpeg,""
"59",성남-01-059,초등학교,성남동초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 자혜로32번길 10,경기도 성남시 중원구 금광동 3365,37.4492150000,127.1621780000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"5","2022-08-22",성남-01-059-B-01.jpeg,"운영시각(08:00~09:00,12:00~15:00, 휴교일제외)"
"60",성남-01-060,초등학교,태평초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 남문로32번길 7,경기도 성남시 수정구 태평동 3743,37.4450040000,127.1311610000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"6","2022-08-11",성남-01-060-B-01.jpeg,""
"61",성남-01-061,초등학교,성수초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 모란로 11,경기도 성남시 수정구 수진동 4786,37.4348140000,127.1271980000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"9","2022-08-04",성남-01-061-B-01.jpeg,""
"62",성남-01-062,초등학교,금빛초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 남문로 112,경기도 성남시 수정구 태평동 7289,37.4474270000,127.1405850000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"7","2022-08-11",성남-01-062-B-01.jpeg,""
"63",성남-01-063,초등학교,왕남초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 대왕판교로959번길 48,경기도 성남시 수정구 고등동 459,37.4285460000,127.0978890000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"5","2022-09-02",성남-01-063-B-01.jpeg,""
"64",성남-01-064,초등학교,성남초등학교,경기도,성남시 수정구,"41131",경기도 성남시 수정구 수정로 233,경기도 성남시 수정구 태평동 7326,37.4460850000,127.1441450000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"4","2022-08-17",성남-01-064-B-01.jpeg,""
"65",성남-01-065,초등학교,검단초등학교,경기도,성남시 중원구,"41133",경기도 성남시 중원구 원터로 25,경기도 성남시 중원구 하대원동 123,37.4296680000,127.1435980000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"4","2022-09-02",성남-01-065-B-01.jpeg,""
"66",성남-01-066,초등학교,불곡초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 무지개로 129,경기도 성남시 분당구 구미동 241,37.3410530000,127.1193540000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-25",성남-01-066-B-01.jpeg,""
"67",성남-01-067,초등학교,서당초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 돌마로476번길 30,경기도 성남시 분당구 서현동 303,37.3746810000,127.1343440000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-31",성남-01-067-B-01.jpeg,""
"68",성남-01-068,초등학교,성남매송초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 탄천로 97,경기도 성남시 분당구 이매동 136,37.4019890000,127.1228750000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-07-27",성남-01-068-B-01.jpeg,""
"69",성남-01-069,초등학교,성남정자초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 분당수서로 442,경기도 성남시 분당구 정자동 6-2,37.3742810000,127.1055910000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"2","2022-08-25",성남-01-069-B-01.jpeg,""
"70",성남-01-070,초등학교,양영초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 불정로406번길 17,경기도 성남시 분당구 서현동 319,37.3747280000,127.1395180000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"4","2022-08-22",성남-01-070-B-01.jpeg,""
"71",성남-01-071,초등학교,중탑초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 벌말로 68,경기도 성남시 분당구 야탑동 212,37.4139240000,127.1396860000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"2","2022-08-29",성남-01-071-B-01.jpeg,""
"72",성남-01-072,초등학교,초림초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 수내로90번길 26,경기도 성남시 분당구 수내동 35,37.3768260000,127.1175920000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-31",성남-01-072-B-01.jpeg,""
"73",성남-01-073,초등학교,판교대장초등학교,경기도,성남시 분당구,"41135",경기도 성남시 분당구 판교대장로5길 71,경기도 성남시 분당구 대장동 155,37.3686670000,127.0696210000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-31",성남-01-073-B-01.jpeg,""
"74",성남-01-074,유치원,별빛유치원,경기도,성남시 수정구,"41131",경기도 성남시 수정구 수정로332번길 6-4,경기도 성남시 수정구 산성동 2120,37.4528850000,127.1500660000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"4","2022-08-17",성남-01-074-B-01.jpeg,미래유치원에서 명칭변경
"75",성남-01-075,유치원,성체유치원,경기도,성남시 수정구,"41131",경기도 성남시 수정구 탄리로 31,경기도 성남시 수정구 수진동 664-2,37.4390310000,127.1374470000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"4","2022-08-26",성남-01-075-B-01.jpeg,""
"76",성남-01-076,유치원,신흥성모유치원,경기도,성남시 수정구,"41131",경기도 성남시 수정구 공원로 432,경기도 성남시 수정구 신흥동 89,37.4490770000,127.1432420000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"3","2022-09-02",성남-01-076-B-01.jpeg,""
"77",성남-01-077,유치원,은솔유치원,경기도,성남시 수정구,"41131",경기도 성남시 수정구 위례서일로1길 24,경기도 성남시 수정구 창곡동 540,37.4678240000,127.1381540000,경기도 성남시청,"031-729-3672",성남수정경찰서,N,"0","2022-08-25",성남-01-077-B-01.jpeg,""
"78",성남-01-078,유치원,위례새초롱유치원,경기도,성남시 수정구,"41131",경기도 성남시 수정구 위례순환로4길 2,경기도 성남시 수정구 창곡동 167-14,37.4696830000,127.1478660000,경기도 성남시청,"031-729-3672",성남수정경찰서,N,"0","2022-08-25",성남-01-078-B-01.jpeg,""
"79",성남-01-079,유치원,위례하늘유치원,경기도,성남시 수정구,"41131",경기도 성남시 수정구 위례동이로 14,경기도 성남시 수정구 창곡동 599,37.4670370000,127.1511340000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"1","2022-09-02",성남-01-079-B-01.jpeg,""
"80",성남-01-080,유치원,고등나래유치원,경기도,성남시 수정구,"41131",경기도 성남시 수정구 청계산로2길 34,경기도 성남시 수정구 고등동 598,37.4269690000,127.0964960000,경기도 성남시청,"031-729-3672",성남수정경찰서,N,"0","2022-09-02",성남-01-080-B-01.jpeg,""
"81",성남-01-081,유치원,은서유치원,경기도,성남시 수정구,"41131",경기도 성남시 수정구 탄리로95번길 7-17,경기도 성남시 수정구 태평동 3558,37.4436050000,127.1349770000,경기도 성남시청,"031-729-3672",성남수정경찰서,Y,"4","2022-09-02",성남-01-081-B-01.jpeg,""
"82",성남-01-082,유치원,선경유치원,경기도,성남시 중원구,"41133",경기도 성남시 중원구 자혜로17번길 16,경기도 성남시 중원구 은행동 1932-6,37.4527130000,127.1627810000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"4","2022-08-04",성남-01-082-B-01.jpeg,""
"83",성남-01-083,유치원,예원유치원,경기도,성남시 중원구,"41133",경기도 성남시 중원구 원터로93번길 3,경기도 성남시 중원구 성남동 2894,37.4350320000,127.1432010000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"5","2022-08-26",성남-01-083-B-01.jpeg,""
"84",성남-01-084,유치원,다솜유치원,경기도,성남시 중원구,"41133",경기도 성남시 중원구 산성대로408번길 48,경기도 성남시 중원구 금광동 3490,37.4479620000,127.1636850000,경기도 성남시청,"031-729-3672",성남중원경찰서,Y,"1","2022-08-22",성남-01-084-B-01.jpeg,폐업
"85",성남-01-085,유치원,도촌유치원,경기도,성남시 중원구,"41133",경기도 성남시 중원구 도촌남로 22-1,경기도 성남시 중원구 도촌동 506,37.4138970000,127.1497750000,경기도 성남시청,"031-729-3672",성남중원경찰서,N,"0","2022-08-04",성남-01-085-B-01.jpeg,""
"86",성남-01-086,유치원,아름다운유치원,경기도,성남시 분당구,"41135",경기도 성남시 분당구 돌마로356번길 31,경기도 성남시 분당구 수내동 74,37.3676520000,127.1254510000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"3","2022-08-22",성남-01-086-B-01.jpeg,""
"87",성남-01-087,유치원,안촌유치원,경기도,성남시 분당구,"41135",경기도 성남시 분당구 느티로 70,경기도 성남시 분당구 정자동 88,37.3683450000,127.1120240000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"1","2022-08-11",성남-01-087-B-01.jpeg,변경
"88",성남-01-088,유치원,세화유치원,경기도,성남시 분당구,"41135",경기도 성남시 분당구 불정로 362,경기도 성남시 분당구 서현동 308,37.3718920000,127.1370710000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"5","2022-08-22",성남-01-088-B-01.jpeg,""
"89",성남-01-089,유치원,분당중앙유치원,경기도,성남시 분당구,"41135",경기도 성남시 분당구 분당로263번길 61,경기도 성남시 분당구 서현동 315-2,37.3734510000,127.1416710000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"1","2022-08-17",성남-01-089-B-01.jpeg,""
"90",성남-01-090,유치원,꿈터유치원,경기도,성남시 분당구,"41135",경기도 성남시 분당구 미금일로 58,경기도 성남시 분당구 구미동 63,37.3475110000,127.1122310000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"1","2022-08-22",성남-01-090-B-01.jpeg,""
"91",성남-01-091,유치원,배성유치원,경기도,성남시 분당구,"41135",경기도 성남시 분당구 판교로 624,경기도 성남시 분당구 야탑동 397-4,37.4059990000,127.1424010000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"1","2022-08-31",성남-01-091-B-01.jpeg,""
"92",성남-01-092,유치원,이솔유치원,경기도,성남시 분당구,"41135",경기도 성남시 분당구 미금로 232,경기도 성남시 분당구 금곡동 133-1,37.3527560000,127.1126020000,경기도 성남시청,"031-729-3672",분당경찰서,Y,"5","2022-08-25",성남-01-092-B-01.jpeg,""
