무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
수정신흥2-A-10,경기도,성남시,기타,,공원로,3,경기도 성남시 수정구 수정로251번길 32,경기도 성남시 수정구 신흥동 76-1,37.44935,127.14324,성남여자중학교 인근,4,0,,,2,2024,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-A-24,경기도,성남시,기타,,공원로,3,,경기도 성남시 수정구 신흥2동 1232-2,37.445971,127.149381,경기도교육청성남도서관 입구,4,0,,,2,2021,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-A-4,경기도,성남시,기타,,공원로,3,경기도 성남시 수정구 공원로370번길 29,경기도 성남시 수정구 신흥2동 89번지,37.44667,127.14936,신흥성당앞 삼거리,4,0,,,2,2021,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-A-26,경기도,성남시,기타,,공원로,3,경기도 성남시 수정구 공원로 432(신흥2동),경기도 성남시 수정구 신흥2동 89번지,37.449078,127.143242,성모유치원,4,0,,,2,2018,경기도 성남시청,031-729-8743,2025-11-11
수정신흥2-E-1,경기도,성남시,기타,,산성대로,3,경기도 성남시 수정구 산성대로 331 (신흥동),경기도 성남시 수정구 신흥동 2463-4,37.443741,127.152815,롯데시네마 앞,4,0,,,,2009,경기도 성남시청,031-729-8743,2025-11-11
수정신흥3-D-1,경기도,성남시,기타,,산성대로,3,경기도 성남시 수정구 산성대로 301 (신흥동),경기도 성남시 수정구 신흥동 2482,37.442365,127.149905,성남우체국앞,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정신흥3-D-2,경기도,성남시,기타,,산성대로,3,경기도 성남시 수정구 산성대로 285 (신흥동),경기도 성남시 수정구 신흥동 2495,37.441666,127.148494,신흥역4번출구,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정신흥3-D-3,경기도,성남시,기타,,시민로,3,경기도 성남시 수정구 시민로 144-1 (신흥동),경기도 성남시 수정구 신흥동 3778,37.441109,127.144062,스타시티주창장입구,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정신흥3-D-4,경기도,성남시,기타,,산성대로,3,경기도 성남시 수정구 산성대로 247 (신흥동),경기도 성남시 수정구 신흥동 4223-2,37.44009,127.144501,신흥사거리,4,0,,,,2009,경기도 성남시청,031-729-8743,2025-11-11
수정신흥3-D-5,경기도,성남시,기타,,산성대로269번길,3,경기도 성남시 수정구 산성대로 267 (신흥3동),경기도 성남시 수정구신흥3동 4124,37.441356,127.146447,성남청년지원센터,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정태평1-D-1,경기도,성남시,일반국도,3번,성남대로,3,경기도 성남시 수정구 성남대로 1278 (태평동),경기도 성남시 수정구 태평동 6111,37.443891,127.127355,태평고개사거리,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정태평1-D-2,경기도,성남시,기타,,수정로,3,경기도 성남시 수정구 수정로 75 (태평동),경기도 성남시 수정구 태평동 6459,37.440206,127.12873,태평역2번출구,4,0,,,,2009,경기도 성남시청,031-729-8743,2025-11-11
수정태평1-D-3,경기도,성남시,일반국도,3번,성남대로,3,경기도 성남시 수정구 성남대로 1235 (태평동),경기도 성남시 수정구 태평동 6973,37.440052,127.127332,태평역6번출구,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정태평1-D-4,경기도,성남시,기타,,수정로,3,,경기도 성남시 수정구 태평동 6425,37.441035,127.131487,중앙시장사거리,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정태평2-D-1,경기도,성남시,기타,,시민로,3,경기도 성남시 수정구 시민로259번길 10 (태평동),경기도 성남시 수정구 태평동 288-16,37.450558,127.138315,강일마트 앞,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정태평2-D-2,경기도,성남시,기타,,수정로,3,경기도 성남시 수정구 수정로171번길 11,경기도 성남시 수정구 태평2동 3309,37.443834,127.138397,성남시의료원,4,0,,,,2021,경기도 성남시청,031-729-8743,2025-11-11
수정태평3-D-1,경기도,성남시,기타,,수정로,3,경기도 성남시 수정구 수정로119번길 4 (태평동),경기도 성남시 수정구 태평동 3677,37.441681,127.133584,중앙시장,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정태평3-D-2,경기도,성남시,기타,,제일로,3,경기도 성남시 수정구 제일로 173 (태평동),경기도 성남시 수정구 태평동 6416,37.441881,127.131161,현대시장입구,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정태평3-D-3,경기도,성남시,기타,,수정로,3,,경기도 성남시 수정구 태평동 3681,37.441398,127.132117,성남중앙공설시장입구,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정태평3-D-4,경기도,성남시,기타,,남문로,3,경기도 성남시 수정구 남문로 29,경기도 성남시 수정구 태평동 4304,37.444825,127.130011,한전사거리,4,0,,,,2023,경기도 성남시청,031-729-8743,2025-11-11
수정태평3-A-1,경기도,성남시,기타,,남문로,3,,경기도 성남시 수정구 태평동 3743,37.444954,127.131681,태평초등학교 정문,4,0,,,2,2013,경기도 성남시청,031-729-8743,2025-11-11
수정태평3-A-9,경기도,성남시,기타,,태평로,3,경기도 성남시 수정구 태평로 28,경기도 성남시 수정구 태평동 7343,37.448243,127.129489,성남서초등학교 정문,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
수정태평3-A-21,경기도,성남시,기타,,태평로,3,,경기도 성남시 수정구 태평동 5090-1,37.44797,127.12851,성남서초등학교,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
수정태평4-D-1,경기도,성남시,기타,,수정로,3,경기도 성남시 수정구 수정로 211 (태평동),경기도 성남시 수정구 태평동 7339-4,37.444593,127.143015,숯골사거리,4,0,,,2,2006,경기도 성남시청,031-729-8743,2025-11-11
수정태평4-D-2,경기도,성남시,기타,,태평로,3,,경기도 성남시 수정구 태평동 25-1,37.451656,127.140582,현충탑앞,4,0,,,2,2023,경기도 성남시청,031-729-8743,2025-11-11
수정태평4-A-5,경기도,성남시,기타,,남문로,3,,경기도 성남시 수정구 태평동 7290,37.447863,127.140886,금빛초등학교 후문,4,0,,,,2013,경기도 성남시청,031-729-8743,2025-11-11
수정태평4-A-17,경기도,성남시,기타,,남문로,3,경기도 성남시 수정구 남문로 112,경기도 성남시 수정구 태평4동 7289,37.44745,127.13892,금빛초등학교 정문,4,0,,,2,2021,경기도 성남시청,031-729-8743,2025-11-11
수정태평4-A-20,경기도,성남시,기타,,수정로,3,경기도 성남시 수정구 수정로,경기도 성남시 수정구 태평4동 7362,37.44571,127.14499,성남초등학교 정문,4,0,,,2,2021,경기도 성남시청,031-729-8743,2025-11-11
수정수진1-D-1,경기도,성남시,기타,,수정로,3,경기도 성남시 수정구 수정로 138 (수진동),경기도 성남시 수정구 수진동 5,37.441765,127.135465,수진1동 5 주변,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정수진1-D-2,경기도,성남시,기타,,수정로,3,,경기도 성남시 수정구 수진동 56,37.44073,127.132218,중앙시장사거리,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정수진1-A-41,경기도,성남시,기타,,탄리로,3,경기도 성남시 수정구 탄리로 59,경기도 성남시 수정구 수진1동 587,37.441399,127.136427,수정커뮤니티센터 앞,4,0,,,,2022,경기도 성남시청,031-729-8743,2025-11-11
수정수진2-D-1,경기도,성남시,기타,,수정로,3,경기도 성남시 수정구 수정로 88 (수진동),경기도 성남시 수정구 수진동 2962,37.440198,127.130177,통계청,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정수진2-D-2,경기도,성남시,일반국도,3번,성남대로,3,경기도 성남시 수정구 성남대로 1218 (수진동),경기도 성남시 수정구 수진동 3013,37.438543,127.128377,예농빌딩,4,0,,,,2009,경기도 성남시청,031-729-8743,2025-11-11
수정수진2-D-3,경기도,성남시,기타,,제일로,3,경기도 성남시 수정구 제일로 145 (수진동),경기도 성남시 수정구 수진동 3399,37.439421,127.132293,수진동현대아파트,4,0,,,2,2006,경기도 성남시청,031-729-8743,2025-11-11
수정수진2-D-4,경기도,성남시,기타,,산성대로,3,경기도 성남시 수정구 산성대로 1227 (수진동),경기도 성남시 수정구 수진동 4538,37.439361,127.127461,정풍빌딩,4,0,,,,2009,경기도 성남시청,031-729-8743,2025-11-11
수정수진2-D-5,경기도,성남시,일반국도,3번,성남대로,3,경기도 성남시 수정구 성남대로 1191 (수진동),경기도 성남시 수정구 수진동 4612,37.436131,127.128017,모란고개버스정류장,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정수진2-D-6,경기도,성남시,기타,,제일로,3,경기도 성남시 수정구 제일로 159 (수진동),경기도 성남시 수정구 수진동 2929,37.440642,127.131692,SR프라자,4,0,,,,2016,경기도 성남시청,031-729-8743,2025-11-11
수정수진2-D-7,경기도,성남시,기타,,산성대로,3,경기도 성남시 수정구 산성대로 61 (수진동),경기도 성남시 수정구 수진동 4760-5,37.4338,127.125947,둔전교회 앞,4,0,,,,2017,경기도 성남시청,031-729-8743,2025-11-11
수정수진2-D-8,경기도,성남시,기타,,수정로,3,,경기도 성남시 수정구 수진2동 4688-1,37.440092,127.121563,밀리언근린공원 앞,4,0,,,,2022,경기도 성남시청,031-729-8743,2025-11-11
수정수진2-A-20,경기도,성남시,기타,,모란로,3,경기도 성남시 수정구 모란로 11,경기도 성남시 수정구 수진2동 4786,37.434582,127.127609,성수초등학교 정문,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
수정단대-D-1,경기도,성남시,기타,,산성대로,3,경기도 성남시 수정구 산성대로 439 (단대동),경기도 성남시 수정구 단대동 95-8,37.451247,127.159269,남한산성역3번출구,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정단대-A-1,경기도,성남시,기타,,단대로,3,,경기도 성남시 수정구 단대동 80,37.452701,127.157241,단대초등학교 정문,4,0,,,2,2013,경기도 성남시청,031-729-8743,2025-11-11
수정산성-D-1,경기도,성남시,기타,,수정남로,3,경기도 성남시 수정구 수정남로291번길 9 (산성동),경기도 성남시 수정구 산성동 1432,37.454651,127.150271,포레스티아 동문,4,0,,,,2006,경기도 성남시청,031-729-8743,2025-11-11
수정산성-A-1,경기도,성남시,기타,,수정남로,3,,경기도 성남시 수정구 산성동 2137,37.451481,127.151474,성남북초등학교 후문,4,0,,,2,2013,경기도 성남시청,031-729-8743,2025-11-11
수정산성-A-2,경기도,성남시,기타,,희망로,3,경기도 성남시 수정구 희망로534번길 3,경기도 성남시 수정구 산성동 2137,37.45153,127.152066,성남북초등학교 정문,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
수정양지-D-1,경기도,성남시,기타,,산성대로,3,경기도 성남시 수정구 산성대로 595,경기도 성남시 수정구 양지동 25,37.462799,127.168872,남한산성공원입구 버스정류장,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정양지-A-1,경기도,성남시,기타,,논골로,3,경기도 성남시 수정구 논골로36번길 33,경기도 성남시 수정구 양지동 386,37.459321,127.161675,양지초등학교 정문,4,0,,,,2022,경기도 성남시청,031-729-8743,2025-11-11
수정복정-A-4,경기도,성남시,일반국도,3번,성남대로,3,,경기도 성남시 수정구 복정동 664-8,37.462042,127.128323,복정초등학교 부근,4,0,,,2,2013,경기도 성남시청,031-729-8743,2025-11-11
수정복정-A-15,경기도,성남시,일반국도,3번,성남대로,3,,경기도 성남시 수정구 복정동 388-14,37.465792,127.128438,서울국제학교 주변,4,0,,,2,2014,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-1,경기도,성남시,기타,,위례광장로,3,경기도 성남시 수정구 위례광장로 311(상가 서측),경기도 성남시 수정구 창곡동 510,37.471226,127.143735,위례35단지,4,0,,,,2018,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-2,경기도,성남시,기타,,위례순환로,3,경기도 성남시 수정구 위례순환로 71(남측),경기도 성남시 수정구 창곡동 502,37.471898,127.135873,위례중앙초등학교,4,0,,,2,2018,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-3,경기도,성남시,기타,,위례서일로3길,3,경기도 성남시 수정구 위례서일로3길 28-4(동측),경기도 성남시 수정구 창곡동 546-5,37.467399,127.140081,으뜸프라자,4,0,,,,2018,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-4,경기도,성남시,기타,,위례동로,3,경기도 성남시 수정구 위례동로 61(5616동 서측),경기도 성남시 수정구 창곡동 566,37.466679,127.148395,위례역푸르지오,4,0,,,,2018,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-5,경기도,성남시,지방도,342번,헌릉로,3,경기도 성남시 수정구 헌릉로 970(북측 건너편),경기도 성남시 수정구 창곡동 559-11,37.463244,127.139814,남위례역4번출구,4,0,,,,2018,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-6,경기도,성남시,기타,,위례광장로,3,경기도 성남시 수정구 위례광장로 104(3202동 동측),경기도 성남시 수정구 창곡동 505,37.473051,127.141263,위례센트럴자이 정문,4,0,,,,2018,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-7,경기도,성남시,기타,,위례광장로,3,경기도 성남시 수정구 위례광장로 12(601동 정문앞),경기도 성남시 수정구 창곡동 563,37.466768,127.142159,위례푸르지오6단지 정문,4,0,,,2,2018,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-8,경기도,성남시,기타,,위례광장로,3,경기도 성남시 수정구 위례서로 12,경기도 성남시 수정구 창곡동 557-7,37.466224,127.136574,경운프라자,4,0,,,,2021,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-9,경기도,성남시,기타,,위례광장로,3,경기도 성남시 수정구 위례광장로 21-12,경기도 성남시 수정구 창곡동 547-10,37.46527,127.139208,위례드림시티,4,0,,,,2021,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-10,경기도,성남시,기타,,위례동로,3,,경기도 성남시 수정구 창곡동 512-2,37.472971,127.149439,성남위례파출소,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-11,경기도,성남시,기타,,위례광장로,3,경기도 성남시 수정구 위례광장로 34,경기도 성남시 수정구 창곡동 564,37.466271,127.14053,위례푸르지오5단지,4,0,,,,2023,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-12,경기도,성남시,기타,,위례순환로,3,,경기도 성남시 수정구 창곡동 145-4,37.470832,127.143247,위례고운초등학교,4,0,,,2,2023,경기도 성남시청,031-729-8743,2025-11-11
수정위례-D-13,경기도,성남시,기타,,위례광장로,3,경기도 성남시 수정구 위례광장로 9-10,경기도 성남시 수정구 창곡동 561-2,37.46475,127.14077,푸르지오시티 출입구 앞,4,0,,,,2024,경기도 성남시청,031-729-8743,2025-11-11
수정위례-A-10,경기도,성남시,기타,,위례순환로,3,경기도 성남시 수정구 위례순환로 155(남측),경기도 성남시 수정구 창곡동 511,37.47149,127.145774,위례35단지입구,4,0,,,2,2018,경기도 성남시청,031-729-8743,2025-11-11
수정위례-A-12,경기도,성남시,기타,,위례순환로,3,경기도 성남시 수정구 위례순환로 205(남측),경기도 성남시 수정구 창곡동 518,37.470732,127.150959,위례푸른초등학교,4,0,,,2,2018,경기도 성남시청,031-729-8743,2025-11-11
수정위례-A-35,경기도,성남시,기타,,위례동로,3,경기도 성남시 수정구 위례동로 55(동측),경기도 성남시 수정구 창곡동 570,37.465765,127.147019,위례한빛초등학교,4,0,,,2,2018,경기도 성남시청,031-729-8743,2025-11-11
수정위례-A-40,경기도,성남시,기타,,위례동로,3,경기도 성남시 수정구 위례동로 135(남측),경기도 성남시 수정구 창곡동 513-3,37.472279,127.150085,위례신성위캐슬타워,4,0,,,2,2018,경기도 성남시청,031-729-8743,2025-11-11
수정고등-D-1,경기도,성남시,지방도,23번,대왕판교로,3,경기도 성남시 수정구 대왕판교로 949,경기도 성남시 수정구 고등동 429-1,37.424751,127.102221,고등동사무소앞,4,0,,,,2011,경기도 성남시청,031-729-8743,2025-11-11
수정고등-D-2,경기도,성남시,기타,,고등공원로,3,,경기도 성남시 수정구 고등동 313,37.430091,127.100748,고등근린공원,4,0,,,2,2020,경기도 성남시청,031-729-8743,2025-11-11
수정고등-D-3,경기도,성남시,기타,,고등로,3,,경기도 성남시 수정구 고등동 498-1,37.428899,127.094484,판교밸리호반써밋,4,0,,,2,2020,경기도 성남시청,031-729-8743,2025-11-11
수정고등-D-4,경기도,성남시,기타,,청계산로,3,,경기도 성남시 수정구 고등동 501-5,37.427873,127.093456,연내울교차로 버스정류장,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정고등-D-5,경기도,성남시,기타,,왕남로,3,,경기도 성남시 수정구 고등동 506-2,37.428001,127.097741,왕남초등학교,4,0,,,2,2020,경기도 성남시청,031-729-8743,2025-11-11
수정고등-D-6,경기도,성남시,기타,,왕남로,3,,경기도 성남시 수정구 고등동 424-10,37.428095,127.100761,고등동행정복지센터,4,0,,,2,2020,경기도 성남시청,031-729-8743,2025-11-11
수정고등-D-7,경기도,성남시,기타,,청계산로,3,,경기도 성남시 수정구 고등동 512-5,37.426672,127.095531,성남고등동성당,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정고등-D-8,경기도,성남시,기타,,고등공원로,3,,경기도 성남시 수정구 고등동 446,37.425517,127.100311,고산근린공원,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정고등-D-9,경기도,성남시,기타,,고등로,3,,경기도 성남시 수정구 고등동 474-2,37.429971,127.096454,판교밸리포레자이,4,0,,,2,2020,경기도 성남시청,031-729-8743,2025-11-11
수정고등-D-10,경기도,성남시,기타,,청계산로,3,,경기도 성남시 수정구 고등동 526-50,37.428477,127.092877,정혜사,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
수정금토-D-1,경기도,성남시,지방도,23번,대왕판교로,3,경기도 성남시 수정구 대왕판교로 775 (금토동),경기도 성남시 수정구 금토동 273-5,37.409791,127.099093,국지도23호금토동삼거리,4,0,,,,2011,경기도 성남시청,031-729-8743,2025-11-11
수정시흥-D-1,경기도,성남시,지방도,23번,대왕판교로,3,,경기도 성남시 수정구 시흥동 281-18,37.4114,127.099742,국지도23호도로공사앞,4,0,,,,2011,경기도 성남시청,031-729-8743,2025-11-11
수정시흥-D-2,경기도,성남시,지방도,23번,대왕판교로,3,경기도 성남시 수정구 대왕판교로 948 (시흥동),경기도 성남시 수정구 시흥동 190-1,37.424751,127.102595,국지도23호고등동사무소건너편,4,0,,,,2011,경기도 성남시청,031-729-8743,2025-11-11
수정시흥-D-4,경기도,성남시,기타,,창업로,3,경기도 성남시 수정구 창업로 42,경기도 성남시 수정구 시흥동 산53,37.410857,127.094998,경기성남SW드림타운,4,0,,,,2024,경기도 성남시청,031-729-8743,2025-11-11
수정시흥-D-5,경기도,성남시,기타,,창업로,3,경기도 성남시 수정구 창업로 42,경기도 성남시 수정구 시흥동 산53,37.412503,127.093736,경기성남SW드림타운,4,0,,,,2024,경기도 성남시청,031-729-8743,2025-11-11
수정시흥-D-6,경기도,성남시,기타,,창업로,3,,경기도 성남시 수정구 금토동 293-1,37.408733,127.095674,성남글로벌융합센터,4,0,,,,2024,경기도 성남시청,031-729-8743,2025-11-11
수정시흥-D-7,경기도,성남시,기타,,금토로,3,,경기도 성남시 수정구 금토동 410-12,37.408021,127.090105,금토동삼거리(임시),4,0,,,,2024,경기도 성남시청,031-729-8743,2025-11-11
수정시흥-D-8,경기도,성남시,기타,,금토로,3,,경기도 성남시 수정구 금토동 410-1,37.406494,127.090013,벤처타운 남문,4,0,,,,2024,경기도 성남시청,031-729-8743,2025-11-11
수정시흥-D-9,경기도,성남시,기타,,금토로,3,,경기도 성남시 수정구 금토동 406,37.405202,127.088283,스마트모빌리티실증허브,4,0,,,,2024,경기도 성남시청,031-729-8743,2025-11-11
수정시흥-D-10,경기도,성남시,기타,,금토로,3,,경기도 성남시 수정구 금토동 412,37.406387,127.086054,판교이노베이션랩,4,0,,,,2024,경기도 성남시청,031-729-8743,2025-11-11
중원성남-D-1,경기도,성남시,기타,,광명로,3,경기도 성남시 중원구 광명로 124 (성남동),경기도 성남시 중원구 성남동 2610,37.436594,127.142265,성일중고앞 사거리,4,0,,,2,2006,경기도 성남시청,031-729-8743,2025-11-11
중원성남-D-2,경기도,성남시,기타,,원터로,3,경기도 성남시 중원구 원터로94번길 2 (성남동),경기도 성남시 중원구 성남동 2878,37.43524,127.14342,성남중앙초등학교 주차장,4,0,,,2,2008,경기도 성남시청,031-729-8743,2025-11-11
중원성남-D-3,경기도,성남시,기타,,산성대로,3,경기도 성남시 중원구 산성대로 80 (성남동),경기도 성남시 중원구 성남동 4132,37.433049,127.128123,모란사거리,4,0,,,,2014,경기도 성남시청,031-729-8743,2025-11-11
중원성남-D-4,경기도,성남시,기타,,둔촌대로,3,,경기도 성남시 중원구 성남동 4763,37.429936,127.128577,모란시장,4,0,,,,2019,경기도 성남시청,031-729-8743,2025-11-11
중원성남-D-5,경기도,성남시,일반국도,3번,성남대로,3,,경기도 성남시 중원구 성남동 1575,37.432185,127.129034,모란역,4,0,,,,2019,경기도 성남시청,031-729-8743,2025-11-11
중원성남-D-6,경기도,성남시,기타,,광명로,3,경기도 성남시 중원구 광명로 99-2 (성남동),경기도 성남시 중원구 성남동 2205,37.435628,127.139594,신동아파밀리애,4,0,,,2,2020,경기도 성남시청,031-729-8743,2025-11-11
중원성남-D-7,경기도,성남시,기타,,둔촌대로,3,,경기도 성남시 중원구 성남동 1841,37.429913,127.126326,여수지구제1호어린이공원,4,0,,,,2020,경기도 성남시청,031-729-8743,2025-11-11
중원성남-D-8,경기도,성남시,기타,,광명로,3,,경기도 성남시 중원구 성남동 3298,37.433781,127.13473,운동장사거리,4,0,,,,2021,경기도 성남시청,031-729-8743,2025-11-11
중원성남-D-9,경기도,성남시,기타,,산성대로,3,,경기도 성남시 중원구 성남동 1401,37.43663,127.13964,수진역2번출구,4,0,,,,2023,경기도 성남시청,031-729-8743,2025-11-11
중원성남-E-3,경기도,성남시,기타,,산성대로,3,,경기도 성남시 중원구 성남동 2001,37.439211,127.14466,신흥사거리,4,0,,,,2009,경기도 성남시청,031-729-8743,2025-11-11
중원중앙-D-2,경기도,성남시,기타,,공원로,3,,경기도 성남시 중원구 중앙동 424,37.442144,127.152721,중앙동사거리,4,0,,,2,2014,경기도 성남시청,031-729-8743,2025-11-11
중원중앙-D-3,경기도,성남시,기타,,시민로,3,경기도 성남시 중원구 시민로 66,경기도 성남시 중원구 중앙동 577,37.435867,127.149448,현대힐스테이트,4,0,,,,2021,경기도 성남시청,031-729-8743,2025-11-11
중원중앙-D-4,경기도,성남시,기타,,시민로,3,,경기도 성남시 중원구 중앙동 3363-1,37.438357,127.14546,성호시장사거리,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
중원중앙-D-5,경기도,성남시,기타,,광명로,3,,경기도 성남시 중원구 중앙동 3030,37.439457,127.148008,제일초등학교,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
중원중앙-D-6,경기도,성남시,기타,,광명로,3,,경기도 성남시 중원구 중앙동 2629,37.440212,127.149569,대원공원입구,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
중원중앙-D-7,경기도,성남시,기타,,광명로,3,,경기도 성남시 중원구 중앙동 3767-17,37.439463,127.150823,신흥역하늘채랜더스원2단지,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
중원중앙-D-8,경기도,성남시,기타,,시민로,3,,경기도 성남시 중원구 중앙동 3735,37.436684,127.146668,신지교회,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
중원중앙-D-9,경기도,성남시,기타,,시민로,3,,경기도 성남시 중원구 중앙동 3765,37.437687,127.148968,대원공원배수지,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
중원중앙-D-10,경기도,성남시,기타,,시민로,3,,경기도 성남시 중원구 중앙동 3767-15,37.43801,127.15035,중동배수지공영주차장,4,0,,,2,2022,경기도 성남시청,031-729-8743,2025-11-11
