시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
경기도,성남시 수정구,시도,,성남대로1480번길,3,,경기도 성남시 수정구 복정동 668-3,37.461711,127.129162,3,1,N,101011,1,3,3,녹색+황색+적색,37+3+20,2,1,1,Y,15:30,08:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,제일로,3,,경기도 성남시 수정구 수진동 4510-3,37.435348,127.134084,3,2,Y,102001,1,4,5,녹색/녹색화살표+녹색/황색+녹색+황색+적색,12+3+42+3+60,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,제일로,3,,경기도 성남시 수정구 수진동 1296,37.436848,127.133901,3,1,Y,102002,1,3,3,녹색+황색+적색,91+3+26,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,제일로,3,,경기도 성남시 수정구 수진동 4427,37.437564,127.133079,3,1,Y,102003,1,3,3,녹색+황색+적색,91+3+26,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,제일로,3,,경기도 성남시 수정구 수진동 3402,37.438715,127.132523,3,1,Y,102004,1,3,3,녹색+황색+적색,93+3+24,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,제일로,3,,경기도 성남시 수정구 태평동 6410-1,37.442427,127.130915,3,1,Y,102005,1,3,3,녹색+황색+적색,52+3+20,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,제일로,3,,경기도 성남시 수정구 태평동 3740-31,37.443201,127.130923,3,1,Y,102006,1,3,3,녹색+황색+적색,52+3+20,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,제일로,3,,경기도 성남시 수정구 태평동 5610,37.443683,127.130315,3,1,Y,102007,1,3,3,녹색+황색+적색,52+3+20,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,제일로,3,,경기도 성남시 수정구 태평동 4304,37.445038,127.130088,3,2,Y,102008,1,4,3,녹색/녹색화살표+황색+적색,32+3+115,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,제일로,3,,경기도 성남시 수정구 테평동 5585,37.446196,127.129351,3,1,Y,102009,1,3,3,녹색+황색+적색,47+3+25,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,제일로,3,,경기도 성남시 수정구 태평동 4320,37.446926,127.129458,3,1,Y,102010,1,3,3,녹색+황색+적색,47+3+25,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,사송로,3,,경기도 성남시 수정구 사송동 576-4,37.415593,127.114770,3,2,Y,103001,1,3,3,녹색+황색+적색,71+3+46,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,사송로,3,,경기도 성남시 수정구 사송동 564-2,37.414395,127.113613,3,2,Y,103002,1,4,5,녹색/녹색화살표+녹색/황색+녹색+황색+적색,12+3+73+3+29,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,사송로,3,,경기도 성남시 수정구 사송동 484-3,37.411978,127.114199,3,2,Y,103003,1,4,5,녹색/녹색화살표+녹색/황색+녹색+황색+적색,12+3+73+3+29,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 태평동 7285-5,37.440140,127.121392,3,2,Y,104001,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,51+3+10+3+33,2,2,1,N,00:00,00:00,N,N,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 태평동 7264-11,37.439737,127.124365,3,1,Y,104002,1,3,3,녹색+황색+적색,73+3+24,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 수진동 4661-4,37.439377,127.125752,3,2,Y,104003,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,37+3+9+3+48,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 태평동 6450,37.440779,127.130463,3,1,Y,104004,1,3,3,녹색+황색+적색,161+3+36,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 태평동 6425,37.441035,127.131487,3,2,Y,104005,1,4,3,녹색/녹색화살표+황색+적색,68+3+129,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 태평동 3678,37.441634,127.133244,3,1,Y,104006,1,3,3,녹색+황색+적색,158+3+39,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 태평동 3499,37.442356,127.135852,3,2,Y,104007,1,4,3,녹색/녹색화살표+황색+적색,53+3+124,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 태평동 7288-6,37.443443,127.139248,3,2,Y,104008,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,79+3+47+3+68,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 태평동 7288-17,37.443788,127.140472,3,1,Y,104009,1,3,3,녹색+황색+적색,161+3+36,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 태평동 7338,37.4443996619,127.142502,3,2,Y,104010,1,4,3,녹색/녹색화살표+황색+적색,58+3+139,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 신흥동 3422,37.444756,127.144207,3,1,Y,104011,1,3,3,녹색+황색+적색,63+3+34,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 신흥동 1746,37.446497,127.145781,3,2,Y,104012,1,4,3,녹색/녹색화살표+황색+적색,52+3+145,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 신흥동 1741-8,37.448094,127.145594,3,2,Y,104013,1,4,4,녹색+녹색/녹색화살표+황색+적색,51+14+3+32,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 신흥동 952-13,37.449285,127.146351,3,1,Y,104014,1,3,3,녹색+황색+적색,62+3+35,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 신흥동 30,37.450764,127.145928,3,2,Y,104015,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,50+3+29+3+15,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 신흥동 6955,37.450726,127.146563,3,2,Y,104016,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,50+3+29+3+15,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 산성동 2136,37.452259,127.150072,3,2,Y,104017,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,68+3+57+3+69,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 산성동 1528,37.453961,127.149958,3,2,Y,104018,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,96+3+33+3+65,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 산성동 6,37.456663,127.150721,3,2,Y,104019,1,4,3,녹색/녹색화살표+황색+적색,67+3+130,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 산성동 4,37.458878,127.153991,3,2,Y,104020,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,145+3+29+3+20,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로,3,,경기도 성남시 수정구 산성동 1-1,37.462048,127.155038,3,2,Y,104021,1,4,5,녹색/녹색화살표+녹색/황색+녹색+황색+적색,17+3+87+3+90,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로171번길,3,,경기도 성남시 수정구 태평동 3405,37.443836,127.138397,3,2,N,104022,1,3,3,녹색+황색+적색,47+3+50,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로171번길,3,,경기도 성남시 수정구 태평동 3365-1,37.444119,127.138232,3,2,N,104023,1,3,3,녹색+황색+적색,47+3+50,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로278번길,3,,경기도 성남시 수정구 신흥동 962,37.449870,127.147015,3,2,N,104024,1,1,1,황색,0,2,2,1,Y,00:00,23:59,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로296번길,3,,경기도 성남시 수정구 신흥동 891-2,37.450512,127.147562,3,1,N,104025,1,1,1,황색,0,2,2,1,Y,00:00,23:59,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로306번길,3,,경기도 성남시 수정구 신흥동 185,37.450853,127.149038,3,2,N,104026,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,47+3+22+3+25,2,2,1,Y,00:00,06:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,수정로306번길,3,,경기도 성남시 수정구 신흥동 188,37.450567,127.149596,3,2,N,104027,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,37+3+7+3+50,2,2,1,Y,00:00,06:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,여수대로,3,,경기도 성남시 수정구 사송동 653-12,37.422259,127.116678,3,2,Y,105001,1,4,3,녹색/녹색화살표+황색+적색,37+3+160,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,여수대로,3,,경기도 성남시 수정구 시흥동 17-37,37.422588,127.108678,3,2,Y,105002,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,121+3+22+3+51,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,여수대로,3,,경기도 성남시 수정구 시흥동 200-8,37.422639,127.105176,3,2,Y,105003,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,132+3+12+3+50,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,탄리로,3,,경기도 성남시 수정구 수진동 1967,37.438571,127.139028,3,1,Y,106001,1,3,3,녹색+황색+적색,77+3+20,2,2,1,N,00:00,00:00,N,N,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,탄리로,3,,경기도 성남시 수정구 수진동 664-2,37.439056,127.137474,3,1,Y,106002,1,3,3,녹색+황색+적색,77+3+20,2,2,1,N,00:00,00:00,N,N,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,탄리로,3,,경기도 성남시 수정구 수진동 587,37.441075,127.136117,3,1,Y,106003,1,1,1,황색,0,2,1,1,Y,00:00,23:59,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,탄리로,3,,경기도 성남시 수정구 태평동 3541,37.443494,127.135377,3,1,Y,106004,1,3,3,녹색+황색+적색,37+3+20,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,탄리로,3,,경기도 성남시 수정구 태평동 3199,37.444723,127.135212,3,1,Y,106005,1,3,3,녹색+황색+적색,37+3+20,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,탄리로,3,,경기도 성남시 수정구 태평동 3174,37.446389,127.134320,3,2,Y,106006,1,4,3,녹색/녹색화살표+황색+적색,30+3+87,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로,3,,경기도 성남시 수정구 신흥동 2550,37.442996,127.150890,3,1,Y,107001,1,4,4,녹색+황색+적색/녹색화살표+적색/황색,152+3+42+3,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로,3,,경기도 성남시 수정구 신흥동 2821,37.443630,127.149286,3,2,Y,107002,1,4,3,녹색/녹색화살표+황색+적색,24+3+73,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로,3,,경기도 성남시 수정구 신흥동 2860-2,37.444592,127.147783,3,2,Y,107003,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,106+3+15+3+73,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로,3,,경기도 성남시 수정구 신흥동 103-1,37.447970,127.144018,3,1,Y,107004,1,3,3,녹색+황색+적색,153+3+44,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로,3,,경기도 성남시 수정구 신흥동 89,37.449078,127.143242,3,2,Y,107005,1,4,5,녹색/녹색화살표+녹색/황색+녹색+황색+적색,37+3+67+3+90,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로,3,,경기도 성남시 수정구 신흥동 47-1,37.450234,127.142717,3,1,Y,107006,1,3,3,녹색+황색+적색,153+3+44,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로,3,,경기도 성남시 수정구 신흥동 82,37.451878,127.140790,3,2,Y,107007,1,1,1,황색,0,2,1,1,Y,00:00,23:59,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로,3,,경기도 성남시 수정구 복정동 144-1,37.461528,127.137279,3,2,Y,107008,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,128+3+20+3+46,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로352번길,3,,경기도 성남시 수정구 신흥동 2025,37.445666,127.150964,3,1,N,107009,1,3,3,녹색+황색+적색,47+3+20,2,1,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로370번길,3,,경기도 성남시 수정구 신흥동 2019,37.445541,127.148637,3,2,Y,107010,1,3,3,녹색+황색+적색,19+3+78,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로370번길,3,,경기도 성남시 수정구 신흥동 1232,37.447499,127.149115,3,1,N,107011,1,3,3,녹색+황색+적색,47+3+30,2,1,1,Y,15:30,08:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,공원로436번길,3,,경기도 성남시 수정구 신흥동 76,37.449416,127.143637,3,1,N,107012,1,3,3,녹색+황색+적색,27+3+30,2,1,1,Y,15:30,08:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 신흥동 2458-1,37.445276,127.156370,3,2,Y,108001,1,4,4,녹색+녹색/녹색화살표+황색+적색,20+27+3+150,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 단대동 161-2,37.448106,127.157936,3,1,Y,108002,1,3,3,녹색+황색+적색,147+3+50,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 중원구 금광동 4635,37.450485,127.159942,3,2,Y,108003,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,92+3+24+3+78,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 단대동 95-1,37.451996,127.159606,3,2,Y,108004,1,4,5,적색/녹색화살표+적색/황색+녹색+황색+적색,47+3+57+3+90,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 단대동 69-1,37.454131,127.160507,3,2,Y,108005,1,4,5,녹색/녹색화살표+녹색/황색+녹색+황색+적색,27+3+27+3+140,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 양지동 856,37.455499754,127.161639,3,2,Y,108006,1,3,3,녹색+황색+적색,147+3+50,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 양지동 535,37.457429,127.163164,3,2,Y,108007,1,4,5,녹색+황색+적색+적색/녹색화살표+적색/황색,132+3+27+3+35,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 양지동 235,37.458243,127.163996,3,2,Y,108008,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,107+3+17+3+70,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 양지동 212,37.460979,127.165147,3,2,Y,108009,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,132+3+17+3+45,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 양지동 199,37.461949,127.167254,3,1,Y,108010,1,3,3,녹색+황색+적색,72+3+45,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 양지동 24,37.463075,127.168952,3,2,Y,108011,1,4,5,녹색+황색+적색+적색/녹색화살표+적색/황색,62+3+45+7+3,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로,3,,경기도 성남시 수정구 양지동 1,37.463768,127.170168,3,2,Y,108012,1,4,5,녹색/녹색화살표+녹색/황색+녹색+황색+적색,24+3+77+3+73,2,2,1,N,00:00,00:00,N,N,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로437번길,3,,경기도 성남시 수정구 단대동 98-1,37.450911,127.158963,3,2,N,108013,1,3,3,녹색+황색+적색,54+6+140,2,1,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로437번길,3,,경기도 성남시 수정구 단대동 150-2,37.451309,127.157635,3,2,N,108014,1,3,3,녹색+황색+적색,37+3+60,2,1,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,산성대로437번길,3,,경기도 성남시 수정구 단대동 124,37.451169,127.156281,3,2,N,108015,1,4,3,녹색/녹색화살표+황색+적색,27+3+70,2,1,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,희망로,3,,경기도 성남시 수정구 단대동 182,37.447065,127.155822,3,2,Y,109001,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,57+3+12+3+25,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,희망로,3,,경기도 성남시 수정구 단대동 183,37.447295,127.155263,3,2,Y,109002,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,62+3+17+3+15,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,희망로,3,,경기도 성남시 수정구 단대동 189,37.449115,127.154111,3,2,Y,109003,1,4,5,녹색/녹색화살표+녹색/황색+녹색+황색+적색,17+3+32+3+45,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,희망로,3,,경기도 성남시 수정구 단대동 190-11,37.449612,127.153631,3,2,Y,109004,1,3,3,녹색+황색+적색,72+3+25,2,2,1,N,00:00,00:00,N,N,N,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,희망로,3,,경기도 성남시 수정구 단대동 191,37.450110,127.153061,3,2,Y,109005,1,3,3,녹색+황색+적색,72+3+25,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,희망로,3,,경기도 성남시 수정구 산성동 2176-1,37.450643,127.152003,3,1,Y,109006,1,3,3,녹색+황색+적색,72+3+25,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,희망로,3,,경기도 성남시 수정구 산성동 2137,37.4514998414,127.151473,3,2,Y,109007,1,3,3,녹색+황색+적색,57+3+40,2,2,1,N,00:00,00:00,N,Y,Y,,경기도 성남시청,031-729-3674,2025-12-17
경기도,성남시 수정구,시도,,희망로533번길,3,,경기도 성남시 수정구 신흥동 164,37.450435,127.150775,3,2,N,109008,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,27+3+12+3+55,2,2,1,N,00:00,00:00,N,Y,N,,경기도 성남시청,031-729-3674,2025-12-17
