설립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
공립,한수초등학교,031-912-2053,경기도 고양시 일산서구 주엽동 116번지,경기도 고양시 일산서구 주엽로 118,10385,37.6693503043,126.7575861119
공립,행신초등학교,031-978-8364,경기도 고양시 덕양구 행신동 983-1번지,경기도 고양시 덕양구 중앙로 527,10518,37.6219419640,126.8364846928
공립,행주초등학교,031-974-7236,경기도 고양시 덕양구 행주내동 175번지,경기도 고양시 덕양구 행주로17번길 70,10440,37.6033169034,126.8247434669
공립,현산초등학교,031-917-1406,경기도 고양시 일산서구 탄현동 1586번지,경기도 고양시 일산서구 산현로 87,10345,37.6927065481,126.7710776783
공립,호수초등학교,031-904-6264,경기도 고양시 일산동구 장항동 880번지,경기도 고양시 일산동구 강촌로 27,10423,37.6470339072,126.7779741898
공립,화중초등학교,031-963-8365,경기도 고양시 덕양구 화정동 871번지,경기도 고양시 덕양구 화중로152번길 43,10474,37.6408943492,126.8360214628
공립,황룡초등학교,031-915-0291,경기도 고양시 일산서구 탄현동 1474번지,경기도 고양시 일산서구 탄현로 75,10240,37.6984470012,126.7680154894
공립,서암초등학교,031-987-1064,경기도 김포시 통진읍 서암리 407번지,경기도 김포시 통진읍 서암로184번길 9,10016,37.6999918808,126.6052207968
공립,석정초등학교,031-989-3706,경기도 김포시 대곶면 석정리 381번지,경기도 김포시 대곶면 대곶로331번길 10,10026,37.6736357778,126.5541698078
공립,수남초등학교,031-987-3690,경기도 김포시 대곶면 대벽리 47번지,경기도 김포시 대곶면 수남로21번길 24,10046,37.6289026733,126.5883948950
공립,양곡초등학교,031-981-2011,경기도 김포시 양촌읍 양곡리 432-10번지,경기도 김포시 양촌읍 양곡로 548,10059,37.6558454448,126.6219850891
공립,옹정초등학교,031-987-1440,경기도 김포시 통진읍 옹정리 167-44번지,경기도 김포시 통진읍 옹정로185번길 26,10029,37.6941190400,126.5639024239
공립,운양초등학교,031-986-0326,경기도 김포시 운양동 273-3번지,경기도 김포시 전원로38번길 99,10077,37.6461658221,126.6900882098
공립,유현초등학교,031-987-8562,경기도 김포시 풍무동 552-8번지,경기도 김포시 유현로33번길 50,10120,37.5989361921,126.7263295263
공립,풍무초등학교,031-983-9686,경기도 김포시 풍무동 136-10번지,경기도 김포시 풍무로96번길 71,10114,37.6050942332,126.7266282805
공립,하성초등학교,031-988-7250,경기도 김포시 하성면 마곡리 617-1번지,경기도 김포시 하성면 애기봉로 857,10011,37.7206740396,126.6325783980
공립,학운초등학교,031-988-1441,경기도 김포시 양촌읍 학운리 2825번지,경기도 김포시 양촌읍 황금로70번길 13,10047,37.6203007962,126.6248622064
공립,가양초등학교,031-591-6064,경기도 남양주시 수동면 수산리 12-2번지,경기도 남양주시 수동면 비룡로1243번길 7,12026,37.7330041010,127.2934738478
공립,갈매초등학교,031-522-2800,경기도 구리시 갈매동 336번지,경기도 구리시 갈매중앙로 40,11902,37.6284198162,127.1161092797
공립,광릉초등학교,031-527-7035,경기도 남양주시 진접읍 팔야리 762번지,경기도 남양주시 진접읍 광릉내로82번길 29,12019,37.7452792074,127.2077987681
공립,구리초등학교,031-563-4361,경기도 구리시 수택동 553번지,경기도 구리시 경춘로276번길 51,11930,37.6011802389,127.1475845605
공립,구지초등학교,031-562-8556,경기도 구리시 인창동 666-3번지,경기도 구리시 건원대로76번길 40,11921,37.6072844091,127.1422761403
공립,금교초등학교,031-555-2894,경기도 남양주시 다산동 4002-17번지,경기도 남양주시 미금로 194,12251,37.6142817821,127.1616068316
공립,금남초등학교,031-592-0501,경기도 남양주시 화도읍 금남리 372번지,경기도 남양주시 화도읍 북한강로 1506,12193,37.6436825982,127.3620161521
공립,남양주금곡초등학교,031-592-7008,경기도 남양주시 금곡동 159-7번지,경기도 남양주시 금곡로 65-6,12237,37.6356304699,127.2108921715
공립,남양주도곡초등학교,031-521-5300,경기도 남양주시 와부읍 도곡리 산46-7번지,경기도 남양주시 와부읍 덕소로 179,12271,37.5797933500,127.2189114927
공립,남양주동곡초등학교,031-595-8204,경기도 남양주시 금곡동 624번지,경기도 남양주시 홍유릉로248번길 56,12239,37.6285916754,127.2039043656
공립,광명광성초등학교,02-2078-0900,경기도 광명시 철산동 243번지,경기도 광명시 철산로 59,14232,37.4785379729,126.8727367849
공립,광명남초등학교,02-2612-0381,경기도 광명시 광명동 295-58번지,경기도 광명시 광명로 866-9,14268,37.4751209696,126.8541724394
공립,광명동초등학교,02-2612-8090,경기도 광명시 철산동 78-4번지,경기도 광명시 연서일로 25,14213,37.4833515056,126.8626864896
공립,광명서초등학교,02-2060-3912,경기도 광명시 광명동 219번지,경기도 광명시 너부대로 5,14284,37.4784526544,126.8470071269
공립,광명초등학교,02-2610-3900,경기도 광명시 광명동 135-1번지,경기도 광명시 광이로 21,14221,37.4807477854,126.8579129956
공립,광문초등학교,02-2618-2618,경기도 광명시 광명동 735번지,경기도 광명시 덕단이로 29,14282,37.4665952850,126.8510907843
공립,장촌초등학교,031-914-0471,경기도 고양시 일산서구 대화동 2269번지,경기도 고양시 일산서구 호수로856번길 43,10383,37.6727928648,126.7489678700
공립,저동초등학교,031-914-0381,경기도 고양시 일산동구 정발산동 688번지,경기도 고양시 일산동구 대산로11번길 37,10362,37.6680006958,126.7738932717
공립,정발초등학교,031-902-0182,경기도 고양시 일산동구 마두동 758번지,경기도 고양시 일산동구 강송로 190,10416,37.6557850064,126.7837619446
공립,하안북초등학교,02-898-5130,경기도 광명시 하안동 684-1번지,경기도 광명시 가림로 18,14258,37.4647011639,126.8691660017
공립,하안초등학교,02-2054-3103,경기도 광명시 하안동 649번지,경기도 광명시 안현로 16,14248,37.4630770694,126.8739402071
공립,하일초등학교,02-896-0149,경기도 광명시 하안동 23번지,경기도 광명시 철망산로 68,14246,37.4691021351,126.8764004824
공립,경안초등학교,031-762-9357,경기도 광주시 경안동 152-101번지,경기도 광주시 경안로 163,12749,37.4114379245,127.2475095817
공립,곤지암초등학교,031-762-6014,경기도 광주시 곤지암읍 곤지암리 453-2번지,경기도 광주시 곤지암읍 곤지암로 70-13,12804,37.3496715890,127.3380887091
공립,광남초등학교,031-767-2258,경기도 광주시 중대동 16-66번지,경기도 광주시 고불로46번길 15,12768,37.3941120502,127.2305536401
공립,광주광명초등학교,031-718-8096,경기도 광주시 신현동 365번지,경기도 광주시 문형산길 7,12820,37.3596079322,127.1608000624
공립,광주초등학교,031-799-1993,경기도 광주시 경안동 36-5번지,경기도 광주시 중앙로123번길 22,12761,37.4106248928,127.2552302138
공립,광지원초등학교,031-761-5424,경기도 광주시 남한산성면 광지원리 209-1번지,경기도 광주시 남한산성면 회안대로 1386,12704,37.4638978182,127.2517320954
공립,남한산초등학교,031-743-6550,경기도 광주시 남한산성면 산성리 373번지,경기도 광주시 남한산성면 남한산성로 770,12700,37.4786863354,127.1860838000
공립,도곡초등학교,031-766-4461,경기도 광주시 초월읍 쌍동리 182번지,경기도 광주시 초월읍 경충대로 1033-13,12736,37.3708673608,127.2996095091
공립,도궁초등학교,031-762-5141,경기도 광주시 도척면 도웅리 125번지,경기도 광주시 도척면 도척윗로 270,12809,37.3346436668,127.3124844964
공립,도수초등학교,031-768-1451,경기도 광주시 퇴촌면 도수리 605-1번지,경기도 광주시 퇴촌면 도수길 11,12711,37.4718157153,127.3182606524
공립,도심초등학교,031-521-9827,경기도 남양주시 와부읍 도곡리 1051-7번지,경기도 남양주시 와부읍 석실로 45,12269,37.5801557027,127.2273703319
공립,도척초등학교,031-762-5020,경기도 광주시 도척면 노곡리 223번지,경기도 광주시 도척면 노곡로 33,12815,37.3036470199,127.3319925206
공립,남양주송라초등학교,031-595-9274,경기도 남양주시 화도읍 마석우리 590번지,경기도 남양주시 화도읍 마석로45번길 33,12174,37.6544667987,127.3016840531
공립,남양주송촌초등학교,031-576-9212,경기도 남양주시 조안면 송촌리 692번지,경기도 남양주시 조안면 북한강로499번길 30,12280,37.5676845655,127.3182204877
공립,남양주양정초등학교,031-551-2051,경기도 남양주시 다산동 3099-43번지,경기도 남양주시 경춘로 468-33,12257,37.6080495977,127.1665748539
공립,남양주월문초등학교,031-576-6468,경기도 남양주시 와부읍 월문리 269-1번지,경기도 남양주시 와부읍 수레로 519,12202,37.6094966430,127.2616045686
공립,내양초등학교,031-571-2046,경기도 구리시 사노동 393-2번지,경기도 구리시 동구릉로 485,11905,37.6405980564,127.1393167882
공립,답내초등학교,031-593-0565,경기도 남양주시 화도읍 답내리 270-2번지,경기도 남양주시 화도읍 경춘로2347번길 44-7,12188,37.6623943626,127.3472987129
공립,도농초등학교,031-558-0252,경기도 남양주시 다산동 4002-6번지,경기도 남양주시 도농로 72,12251,37.6124042880,127.1575477103
공립,도림초등학교,031-551-7982,경기도 구리시 교문동 396-1번지,경기도 구리시 아차산로 431,11954,37.5932844774,127.1299281865
공립,도제원초등학교,031-574-6094,경기도 남양주시 퇴계원읍 퇴계원리 189번지,경기도 남양주시 퇴계원읍 경춘북로558번길 10-1,12127,37.6460255957,127.1457518038
공립,동구초등학교,031-554-2068,경기도 구리시 인창동 664-3번지,경기도 구리시 건원대로76번길 45,11917,37.6091751447,127.1415872880
공립,동인초등학교,031-564-4036,경기도 구리시 인창동 495-48번지,경기도 구리시 동구릉로103번길 37,11914,37.6109094075,127.1339763954
공립,마석초등학교,031-593-0008,경기도 남양주시 화도읍 창현리 517-1번지,경기도 남양주시 화도읍 수레로 1234-52,12185,37.6496140672,127.3049844346
공립,동부초등학교,031-792-1588,경기도 하남시 덕풍동 427번지,경기도 하남시 역말로 55,12977,37.5374784584,127.2020464646
공립,망월초등학교,031-8026-8700,경기도 하남시 망월동 1025번지,경기도 하남시 미사강변북로24번길 10,12908,37.5708176284,127.1806129791
공립,번천초등학교,031-761-2961,경기도 광주시 남한산성면 상번천리 537번지,경기도 광주시 남한산성면 해공로 82,12705,37.4451532466,127.2669543163
공립,분원초등학교,031-768-8008,경기도 광주시 남종면 분원리 116번지,경기도 광주시 남종면 산수로 1642-1,12708,37.4962551269,127.3034494145
공립,산곡초등학교,031-793-5578,경기도 하남시 하산곡동 431-6번지,경기도 하남시 하남대로302번길 45,13025,37.5040714226,127.2349900693
공립,서부초등학교,02-485-0090,경기도 하남시 감일동 14-8번지,경기도 하남시 서하남로 161,12990,37.5157471860,127.1620522541
공립,선동초등학교,031-762-4479,경기도 광주시 초월읍 선동리 274-9번지,경기도 광주시 초월읍 동막골길 5,12732,37.3780985287,127.3175947159
공립,신장초등학교,031-792-3492,경기도 하남시 신장동 422-10번지,경기도 하남시 신평로 100,12949,37.5426941128,127.2079799751
공립,오포초등학교,031-8026-8390,경기도 광주시 추자동 500번지,경기도 광주시 추자길 28-7,12790,37.3610953294,127.2155509805
공립,창우초등학교,031-793-5494,경기도 하남시 창우동 518-2번지,경기도 하남시 대청로 99,12944,37.5406589238,127.2237447847
공립,초월초등학교,031-761-1159,경기도 광주시 초월읍 신월리 452-1번지,경기도 광주시 초월읍 산수로 523,12729,37.4079008224,127.3078613227
공립,탄벌초등학교,031-768-8782,경기도 광주시 탄벌동 27-44번지,경기도 광주시 이배재로 20-12,12746,37.4201564202,127.2485313463
공립,태전초등학교,031-764-4294,경기도 광주시 태전동 241-1번지,경기도 광주시 태봉로 56,12784,37.3888941864,127.2271155137
공립,하남천현초등학교,031-790-7004,경기도 하남시 신장동 529번지,경기도 하남시 천현로 45,12952,37.5380719013,127.2160912294
공립,하남초등학교,031-793-8033,경기도 하남시 창우동 520-6번지,경기도 하남시 천현로 109,12954,37.5374193058,127.2221494237
공립,갈뫼초등학교,031-426-6702,경기도 의왕시 내손동 780번지,경기도 의왕시 갈미로 27,16041,37.3766566444,126.9723817147
공립,곡란초등학교,031-395-0107,경기도 군포시 산본동 1058번지,경기도 군포시 고산로677번길 24-42,15802,37.3742431151,126.9338620039
공립,관모초등학교,031-397-0235,경기도 군포시 산본동 1054번지,경기도 군포시 곡란로8번길 35-22,15801,37.3762279174,126.9380148394
공립,광정초등학교,031-391-2293,경기도 군포시 산본동 1092-2번지,경기도 군포시 산본로386번길 5-20,15817,37.3659346652,126.9305703611
공립,군포양정초등학교,031-396-5986,경기도 군포시 금정동 850-1번지,경기도 군포시 오금로 131,15835,37.3593216890,126.9406703784
공립,군포초등학교,031-398-4237,경기도 군포시 당동 795-4번지,경기도 군포시 군포로 463,15861,37.3481071805,126.9422890924
공립,군포화산초등학교,031-391-0138,경기도 군포시 금정동 871-5번지,경기도 군포시 오금로 48,15863,37.3532894732,126.9345613871
공립,궁내초등학교,031-396-0072,경기도 군포시 산본동 1149-3번지,경기도 군포시 수리산로 187,15819,37.3646220365,126.9201342744
공립,금정초등학교,031-452-0457,경기도 군포시 금정동 703번지,경기도 군포시 금정로 40,15810,37.3664631137,126.9412046195
공립,내손초등학교,031-425-5684,경기도 의왕시 내손동 849-1번지,경기도 의왕시 내손순환로 175,16027,37.3888767368,126.9819999035
공립,능내초등학교,031-391-4492,경기도 군포시 산본동 1152-5번지,경기도 군포시 수리산로 37,15868,37.3548845573,126.9214399652
공립,덕장초등학교,031-422-0092,경기도 의왕시 청계동 975번지,경기도 의왕시 덕장로 33,16007,37.3922137788,126.9970699337
공립,도장초등학교,031-391-2251,경기도 군포시 산본동 1155-5번지,경기도 군포시 번영로 371,15869,37.3486756499,126.9236102440
공립,둔전초등학교,031-391-4631,경기도 군포시 산본동 1146-18번지,경기도 군포시 고산로 542,15825,37.3614699978,126.9243932182
공립,백운초등학교,031-423-4596,경기도 의왕시 내손동 622번지,경기도 의왕시 백운초등길 4,16034,37.3857532801,126.9748031364
공립,산본초등학교,031-394-6512,경기도 군포시 산본동 209번지,경기도 군포시 산본로386번길 60,15815,37.3688114789,126.9346256126
공립,신흥초등학교,031-395-0121,경기도 군포시 산본동 1145-12번지,경기도 군포시 고산로 470,15866,37.3565051702,126.9266104451
공립,오금초등학교,031-394-8222,경기도 군포시 산본동 1156-22번지,경기도 군포시 번영로 366,15870,37.3480294708,126.9260426399
공립,오전초등학교,031-459-0372,경기도 의왕시 오전동 848번지,경기도 의왕시 찬우물길 49,16055,37.3549427472,126.9724434065
공립,왕곡초등학교,031-459-2154,경기도 의왕시 왕곡동 604번지,경기도 의왕시 왕곡로 58,16067,37.3451893931,126.9804937472
공립,의왕덕성초등학교,031-462-9311,경기도 의왕시 삼동 263번지,경기도 의왕시 덕영대로 123,16103,37.3216174526,126.9582070750
공립,의왕부곡초등학교,031-8084-6900,경기도 의왕시 삼동 158-3번지,경기도 의왕시 철도박물관로 143,16097,37.3159823558,126.9500766666
공립,의왕초등학교,031-457-4763,경기도 의왕시 오전동 27-5번지,경기도 의왕시 모락로 56,16049,37.3637298171,126.9681131909
공립,태을초등학교,031-310-9955,경기도 군포시 산본동 1089번지,경기도 군포시 산본로 451-49,15820,37.3720527747,126.9263791853
공립,흥진초등학교,(031) 391-0166,경기도 군포시 금정동 875-5번지,경기도 군포시 오금로 15-40,15864,37.3538625988,126.9281548810
공립,감정초등학교,031-982-4233,경기도 김포시 감정동 508-13번지,경기도 김포시 중봉로 11,10103,37.6234432202,126.6953208404
공립,개곡초등학교,031-987-1898,경기도 김포시 월곶면 개곡리 267-2번지,경기도 김포시 월곶면 애기봉로 445,10003,37.7320258948,126.5936346185
공립,고촌초등학교,031-986-1241,경기도 김포시 고촌읍 신곡리 1101번지,경기도 김포시 고촌읍 신곡로29번길 30,10125,37.6061130763,126.7734870010
공립,금란초등학교,031-986-4252,경기도 김포시 고촌읍 풍곡리 466-2번지,경기도 김포시 고촌읍 장곡로 42,10122,37.6076587392,126.7511188002
공립,금성초등학교,031-988-3105,경기도 김포시 하성면 마조리 434번지,경기도 김포시 하성면 하성로795번길 26,10005,37.7448641535,126.6324550406
공립,양도초등학교,031-996-4911,경기도 김포시 풍무동 416-6번지,경기도 김포시 풍무로93번길 31,10116,37.6028633081,126.7204432067
공립,김포대명초등학교,031-989-3684,경기도 김포시 대곶면 대명리 366-1번지,경기도 김포시 대곶면 대곶로20번길 17,10040,37.6484124007,126.5535829518
공립,김포서초등학교,031-984-6275,경기도 김포시 북변동 687번지,경기도 김포시 봉화로 188,10101,37.6290027229,126.7017092238
공립,대곶초등학교,031-987-3600,경기도 김포시 대곶면 율생리 444번지,경기도 김포시 대곶면 율생중앙로36번길 19,10039,37.6519468762,126.5845877142
공립,마송초등학교,031-987-1067,경기도 김포시 통진읍 마송리 1-2번지,경기도 김포시 통진읍 흥신로 315,10032,37.6843363782,126.6064409459
공립,사우초등학교,031-998-4053,경기도 김포시 사우동 907번지,경기도 김포시 사우로 20,10111,37.6204621216,126.7239195319
공립,호평초등학교,031-559-0921,경기도 남양주시 호평동 378-1번지,경기도 남양주시 천마산로 63,12141,37.6670690567,127.2460565074
공립,화접초등학교,031-528-8001,경기도 남양주시 별내동 1075번지,경기도 남양주시 별내중앙로 148,12102,37.6532347271,127.1164236956
공립,가납초등학교,031-836-3009,경기도 양주시 광적면 가납리 799-2번지,경기도 양주시 광적면 부흥로 793,11418,37.8192235879,126.9823361840
공립,고암초등학교,031-858-5434,경기도 양주시 덕정동 208-13번지,경기도 양주시 고암길 320,11456,37.8350369101,127.0684130132
공립,남면초등학교,031-863-5506,경기도 양주시 남면 신산리 286-2번지,경기도 양주시 남면 개나리18길 100,11404,37.8945577680,126.9749394878
공립,남면초등학교양덕분교장,031-866-9536,경기도 양주시 남면 한산리 272-1번지,경기도 양주시 남면 은남로119번길 373,11403,37.9089941630,126.9992150595
공립,덕정초등학교,031-858-5726,경기도 양주시 덕정동 123번지,경기도 양주시 덕정1길 28,11450,37.8456463122,127.0637934197
공립,동두천초등학교,031-864-2007,경기도 동두천시 생연동 469-2번지,경기도 동두천시 평화로2460번길 4,11314,37.9083985054,127.0598967490
공립,동보초등학교,031-865-2655,경기도 동두천시 동두천동 213번지,경기도 동두천시 강변로640번길 31,11305,37.9245821422,127.0517673428
공립,보산초등학교,031-865-2643,경기도 동두천시 생연동 160-14번지,경기도 동두천시 중앙로 427,11309,37.9149477552,127.0638850686
공립,사동초등학교,031-864-2169,경기도 동두천시 생연동 783번지,경기도 동두천시 생연로 65,11342,37.8978699027,127.0476300025
공립,산북초등학교,031-840-4131,경기도 양주시 산북동 352-1번지,경기도 양주시 평화로1261번길 96-46,11497,37.8067543877,127.0399958167
공립,삼상초등학교,031-855-8656,경기도 양주시 장흥면 삼상리 288번지,경기도 양주시 장흥면 일영로 641,11524,37.7003505490,126.9299504708
공립,상패초등학교,031-863-5104,경기도 양주시 은현면 하패리 796-4번지,경기도 양주시 은현면 은현로312번길 121-208,11426,37.8977692233,127.0266114579
공립,생연초등학교,031-863-3387,경기도 동두천시 생연동 411번지,경기도 동두천시 생골로 19,11317,37.9012034129,127.0591661310
공립,소요초등학교,031-865-9272,경기도 동두천시 상봉암동 237-2번지,경기도 동두천시 봉동로 64,11301,37.9484930057,127.0540236782
