연번,설치장소,설치도로명주소,설치지번주소,설치개소수,설치연도,관리기관전화번호,데이터기준일
24,대일초등학교,경기도 성남시 중원구 금상로 58번길 22,경기도 성남시 중원구 상대원3동 2511,1,2021,031-729-3672,2025-06-17
25,성남동초등학교,경기도 성남시 중원구 자혜로32번길 10,경기도 성남시 중원구 금광동 3365,1,2021,031-729-3672,2025-06-17
26,낙생초등학교,경기도 성남시 분당구 서판교로 74번길,경기도 성남시 분당구 판교동 551,1,2021,031-729-3672,2025-06-17
27,산운초등학교,경기도 성남시 분당구 판교원로 117번길 11,경기도 성남시 분당구 운중동 927,1,2021,031-729-3672,2025-06-17
28,야탑초등학교,경기도 성남시 분당구 양현로 400,경기도 성남시 분당구 야탑동 333,1,2021,031-729-3672,2025-06-17
29,이매초등학교,경기도 성남시 분당구 양현로 146,경기도 성남시 분당구 이매동 112,1,2021,031-729-3672,2025-06-17
30,서당초등학교,경기도 성남시 분당구 돌마로 476번길 30,경기도 성남시 분당구 서현동 303,1,2021,031-729-3672,2025-06-17
31,돌마초등학교,경기도 성남시 분당구 야탑로 96-7,경기도 성남시 분당구 야탑동 515,1,2021,031-729-3672,2025-06-17
32,불곡초등학교,경기도 성남시 분당구 무지개로 129,경기도 성남시 분당구 구미동 241,1,2021,031-729-3672,2025-06-17
33,서현초등학교,경기도 성남시 분당구 중앙공원로 39번길 12,경기도 성남시 분당구 서현동 87-1,1,2021,031-729-3672,2025-06-17
34,안말초등학교,경기도 성남시 분당구 양현로 104,경기도 성남시 분당구 이매동 118,1,2021,031-729-3672,2025-06-17
35,상원초등학교,경기도 성남시 중원구 은행로 6,경기도 성남시 분당구 은행2동 421,1,2021,031-729-3672,2025-06-17
36,중원초등학교,경기도 성남시 중원구 사기막골로 31번길 46,경기도 성남시 중원구 상대원동 153,1,2021,031-729-3672,2025-06-17
37,상대원초등학교,경기도 성남시 중원구 순환로 214번길 16,경기도 성남시 중원구 상대원1동 54,1,2021,031-729-3672,2025-06-17
38,여수초등학교,경기도 성남시 중원구 여수울로 37,경기도 성남시 중원구 여수동 557,1,2021,031-729-3672,2025-06-17
39,왕남초등학교,경기도 성남시 수정구 대왕판교로 959번길 48,경기도 성남시 수정구 고등동 461,1,2021,031-729-3672,2025-06-17
40,태평초등학교,경기도 성남시 수정구 남문로 32번길 7,경기도 성남시 수정구 태평3동 3743,1,2021,031-729-3672,2025-06-17
41,위례푸른초등학교,경기도 성남시 수정구 위례순환로 205,경기도 성남시 수정구 창곡동 518,1,2021,031-729-3672,2025-06-17
42,단대초등학교,경기도 성남시 수정구 단대로 30,경기도 성남시 수정구 단대동 77,1,2021,031-729-3672,2025-06-17
43,수정초등학교,경기도 성남시 수정구 탄리로95번길 16,경기도 성남시 수정구 태평3동 3756,1,2022,031-729-3672,2025-06-17
44,수정북초등학교,경기도 성남시 수정구 희망로534번길 3,경기도 성남시 수정구산성동 2137,1,2022,031-729-3672,2025-06-17
45,신흥초등학교,경기도 성남시 수정구 공원로436번길 17,경기도 성남시 수정구 신흥2동47-3,1,2022,031-729-3672,2025-06-17
46,금상초등학교, 경기도 성남시 중원구 금상로 97,경기도 성남시 중원구 금광1동 1645,1,2022,031-729-3672,2025-06-17
47,단남초등학교,경기도 성남시 중원구 광명로300번길 25,경기도 성남시 중원구 금광1동 210,1,2022,031-729-3672,2025-06-17
48,판교초등학교,경기도 성남시 분당구 판교원로 231,경기도 성남시 분당구 판교동 636,1,2022,031-729-3672,2025-06-17
49,내정초등학교,경기도 성남시 분당구 내정로174번길 19,경기도 성남시 분당구수내동 57,2,2022,031-729-3672,2025-06-17
50,당촌초등학교,경기도 성남시 분당구 분당로 196,경기도 성남시 분당구 분당동 36,1,2022,031-729-3672,2025-06-17
51,백현초등학교,경기도 성남시 분당구 백현로144번길 26,경기도 성남시 분당구 정자동 76,1,2022,031-729-3672,2025-06-17
52,분당초등학교 ,경기도 성남시 분당구 중앙공원로32번길 20,경기도 성남시 분당구 서현동 92-1,1,2022,031-729-3672,2025-06-17
53,신기초등학교,경기도 경기도 성남시 분당구 황새울로 74,경기도 성남시 분당구 정자동 89,1,2022,031-729-3672,2025-06-17
54,양영초등학교,경기도 성남시 분당구 불정로406번길 17,경기도 성남시 분당구 서현동 319,1,2022,031-729-3672,2025-06-17
55,오리초등학교,경기도 성남시 분당구 미금로 121,경기도 성남시 분당구 구미동 115,1,2022,031-729-3672,2025-06-17
56,청솔초등학교,경기도 성남시 분당구 금곡로 243,경기도 성남시 분당구 금곡동 131,1,2022,031-729-3672,2025-06-17
57,탄천초등학교,경기도 성남시 분당구 내정로 20,경기도 성남시 분당구 정자동 195,1,2022,031-729-3672,2025-06-17
58,하탑초등학교,경기도 성남시 분당구 양현로 262,경기도 성남시 분당구 야탑동 531,1,2022,031-729-3672,2025-06-17
59,수내초등학교,경기도 성남시 분당구 백현로243번길 12,경기도 성남시 분당구 수내동 81,1,2022,031-729-3672,2025-06-17
60,양지초등학교,경기도 성남시 수정구 논골로36번길 33,경기도 성남시 수정구 양지동 386,1,2022,031-729-3672,2025-06-17
61,성남서초등학교,경기도 성남시 수정구 태평로19,경기도 성남시 수정구 태평3동 5090-1,1,2022,031-729-3672,2025-06-17
62,수진초등학교,경기도 성남시 수정구 탄리로95번길 16,경기도 성남시 수정구 태평3동 3756,1,2022,031-729-3672,2025-06-17
63,신백현초등학교,경기도 성남시 분당구 판교역로14번길 42,경기도 성남시 분당구 백현동 559,1,2022,031-729-3672,2025-06-17
64,구미초등학교,경기도 성남시 분당구 미금로22번길 25,경기도 성남시 분당구 구미동 215,1,2022,031-729-3672,2025-06-17
65,미금초등학교,경기도 성남시 분당구 미금로 151,경기도 성남시 분당구 구미동 68,1,2022,031-729-3672,2025-06-17
66,불정초등학교,경기도 성남시 분당구 돌마로 250,경기도 성남시 분당구 정자동 203,1,2022,031-729-3672,2025-06-17
67,상탑초등학교,경기도 성남시 분당구 판교로 647,경기도 성남시 분당구 야탑동 161,1,2022,031-729-3672,2025-06-17
68,매송초등학교,경기도 성남시 분당구 탄천로 97,경기도 성남시 분당구 이매동 136,1,2022,031-729-3672,2025-06-17
69,장안초등학교,경기도 성남시 분당구 장안로51번길 10,경기도 성남시 분당구 분당동 91,1,2022,031-729-3672,2025-06-17
70,초림초등학교,경기도 성남시 분당구 수내로90번길 26,경기도 성남시 분당구 수내동 35,1,2022,031-729-3672,2025-06-17
71,한솔초등하교,경기도 성남시 분당구 돌마로 303,경기도 성남시 분당구 정자동 113,1,2022,031-729-3672,2025-06-17
72,늘푸른초등학교,경기도 성남시 분당구 정자일로 87,경기도 성남시 분당구 정자동178-5,1,2022,031-729-3672,2025-06-17
73,보평초등학교,경기도 성남시 분당구 동판교로 154,경기도 성남시 분당구 삼평동 743,1,2022,031-729-3672,2025-06-17
74,송현초등학교,경기도 남시 분당구 동판교로 258,경기도 성남시 분당구 삼평동 710,1,2022,031-729-3672,2025-06-17
75,성수초등학교,경기도 성남시 수정구 모란로 11,경기도 성남시 수정구 수진2동 4786,1,2022,031-729-3672,2025-06-17
76,위례고운초등학교,경기도 성남시 수정구 위례순환로 155,경기도 성남시 수정구 창곡동 511,1,2022,031-729-3672,2025-06-17
77,위례한빛초등학교,경기도 성남시 수정구 위례동로 55,경기도 성남시 수정구 창곡동 570,1,2022,031-729-3672,2025-06-17
78,위례중앙초등학교,경기도 성남시 수정구 위례순환로 71,경기도 성남시 수정구 창곡동27,1,2022,031-729-3672,2025-06-17
79,대원초등학교,경기도 성남시 중원구 희망로343번길 24,경기도 성남시 중원구 상대원2동 4251,1,2022,031-729-3672,2025-06-17
80,대하초등학교,경기도 성남시 중원구 시민로 14,경기도 성남시 중원구 하대원동 167-2,1,2022,031-729-3672,2025-06-17
81,성남초등학교 ,경기도 성남시 수정구 수정로233,경기도 성남시 수정구 태평4동 7326,1,2022,031-729-3672,2025-06-17
82,중부초등학교,경기도 성남시 중원구 자혜로 55,경기도 성남시 중원구 은행1동 1932-7,1,2022,031-729-3672,2025-06-17
83,수내초등학교,경기도 성남시 분당구 백현로243번길 12,경기도 성남시 분당구 수내동 81,1,2024,031-729-3672,2025-06-17
84,상탑사거리,경기도 성남시 분당구 야탑로 225,경기도 성남시 분당구 야탑동 170-2,1,2024,031-729-3672,2025-06-17
85,황송삼거리(사거리),경기도 성남시 중원구 황송로 4,경기도 성남시 중원구 금광동 2450-2,1,2024,031-729-3672,2025-06-17
