안전시설명,안전시설전화번호,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
또래분식,,경기도 가평군 조종면 조종새싹로 34,경기도 가평군 조종면 현리 233-12번지,37.8217884601,127.3497206181,S
서울프라자약국,031-585-1007,경기도 가평군 조종면 현창로38번길 4-1,경기도 가평군 조종면 현리 265-2번지,37.8185335078,127.3487841781,S
힘찬체육관,031-584-4062,경기도 가평군 조종면 조종새싹로 30,경기도 가평군 조종면 현리 283-3번지,37.8213378174,127.3497328942,S
GS25 대성리점,031-584-2370,경기도 가평군 청평면 경춘로 89,경기도 가평군 청평면 대성리 399-25번지,37.6838552138,127.3782506250,S
대성마트,031-584-4637,경기도 가평군 청평면 경춘로 61,경기도 가평군 청평면 대성리 399-51번지,37.6816102400,127.3776305389,S
CU청평역점,031-584-6934,경기도 가평군 청평면 잠곡로 36,경기도 가평군 청평면 청평리 388-10번지,37.7371345218,127.4226760549,S
알파문구,031-584-8754,경기도 가평군 청평면 청평중앙로72번길 16,경기도 가평군 청평면 청평리 389-1번지,37.7381349379,127.4225842174,S
용인대화랑체육관,031-584-6378,경기도 가평군 청평면 잠곡로 22-1,경기도 가평군 청평면 청평리 403-10번지,37.7366108039,127.4212465760,S
미진사세탁,,경기도 가평군 청평면 잠곡로 15,경기도 가평군 청평면 청평리 413-14번지,37.7370789312,127.4204062197,S
BIKE ON,,경기도 가평군 청평면 여울길 39,경기도 가평군 청평면 청평리 423-16번지 (여울길 39. BIKE ON),37.7363120992,127.4193742500,S
세븐일레븐청평터미널점,031-585-5069,경기도 가평군 청평면 청평중앙로 58,경기도 가평군 청평면 청평리 432-19번지,37.7383410523,127.4207907568,S
가야편의점,031-962-9116,경기도 고양시 덕양구 벽제관로 33-10,경기도 고양시 덕양구 고양동 235-4 벽제관로33-10,37.7033496537,126.9004099658,S
행운공인부동산,031-964-3100,,경기도 고양시 덕양구 고양동 719 푸른마을로 15,37.7094117275,126.9032087434,S
아이모드 안경,031-969-2580,경기도 고양시 덕양구 푸른마을로 6,경기도 고양시 덕양구 고양동 721 푸른마을로 6,37.7089058015,126.9029745554,S
GS고양동익점,,경기도 고양시 덕양구 푸른마을로 6,경기도 고양시 덕양구 고양동 721번지,37.7089058015,126.9029745554,S
아이원마트,031-962-9712,경기도 고양시 덕양구 푸른마을로 56,경기도 고양시 덕양구 고양동 730 푸른마을로 56,37.7140125151,126.9075853564,S
CU고양동푸른마을점,,경기도 고양시 덕양구 푸른마을로 52,경기도 고양시 덕양구 고양동 734번지 푸른4단지 상가 102호,37.7121386337,126.9059665225,S
통일로약국,031-969-3636,,경기도 고양시 덕양구 관산동 227-11 통이로 772,,,F
대가떡집,031-964-1660,,경기도 고양시 덕양구 관산동 231-41 통이로 798,,,F
내곡슈퍼,031-000-0000,경기도 고양시 덕양구 내곡길70번길 3,경기도 고양시 덕양구 내곡동 44-2번지,37.6434582679,126.8100414779,S
문구프라자,031-962-3660,경기도 고양시 덕양구 유산길 6,경기도 고양시 덕양구 내유동 646-24 유산길6,37.7254020428,126.8440053017,S
건강드림약국,031-965-7582,경기도 고양시 덕양구 도래울로 52,경기도 고양시 덕양구 도내동 1020번지 도래울아이랑소아청소년과의원센터프라자 1층,37.6303700879,126.8694795633,S
도래울떡방,031-907-5988,경기도 고양시 덕양구 도래울1로 57,경기도 고양시 덕양구 도내동 1091번지 태종빌딩 1층 101호,37.6286646468,126.8691199894,S
GS25 편의점(삼송점),02-381-6867,경기도 고양시 덕양구 삼송로 191,경기도 고양시 덕양구 삼송동 24-35 삼송로 189-7 104호,37.6538753244,126.8950149947,S
CU고양삼송로점,,경기도 고양시 덕양구 삼송로 172,경기도 고양시 덕양구 삼송동 30-35번지 CU고양삼송로점,37.6529720372,126.8928797262,S
GS삼송18단지점,,,경기도 고양시 덕양구 삼송동 332번지 gs고양삼송18단지점,37.6475060867,126.8800015731,S
CU고양삼송18단지점,,,경기도 고양시 덕양구 삼송동 332번지 삼송마을18단지,37.6475060867,126.8800015731,S
CU원당역점,,경기도 고양시 덕양구 호국로790번길 113,경기도 고양시 덕양구 성사동 408-7번지 cu원당역점,37.6541047207,126.8419009258,S
GS25신원당어울림점,031-966-8847,,경기도 고양시 덕양구 성사동 731 호국로742번길 34,37.6526846764,126.8345901327,S
복지슈퍼,031-968-6533,경기도 고양시 덕양구 호국로716번길 7-18,경기도 고양시 덕양구 성사동 736-14 호국로716번길 7-18,37.6517823545,126.8328183888,S
CU원흥 봄오피스텔점,,경기도 고양시 덕양구 권율대로 672,경기도 고양시 덕양구 원흥동 627번지 CU원흥 봄오피스텔점,37.6498728739,126.8741778591,S
CU원흥역점,,경기도 고양시 덕양구 원흥3로 16,경기도 고양시 덕양구 원흥동 631번지 CU원흥역점,37.6492364441,126.8748406827,S
원당문구,031-968-2287,경기도 고양시 덕양구 마상로107번길 7,경기도 고양시 덕양구 주교동 575-5 마상로107번길 7,37.6612706943,126.8355452326,S
두배로마트(주교점),031-968-7767,경기도 고양시 덕양구 마상로 100,경기도 고양시 덕양구 주교동 581-17 (마상로 100),37.6612111211,126.8345707203,S
GS25(고양원당점),031-962-1865,경기도 고양시 덕양구 호국로779번길 29,경기도 고양시 덕양구 주교동 611 (호국로779번길 29),37.6568634900,126.8339973242,S
경성부동산,031-979-0222,경기도 고양시 덕양구 토당로 133-2,경기도 고양시 덕양구 토당동 248-6 토당로133-2,37.6269197018,126.8179344788,S
모퉁이떡볶이,031-973-7170,경기도 고양시 덕양구 서정마을로 27,경기도 고양시 덕양구 행신동 1073번지 서정마을 104호,37.6191819702,126.8490869990,S
행신마트,031-972-9733,,경기도 고양시 덕양구 행신동 1074 서정마을2로 2,37.6207946296,126.8456961284,S
보광당,031-972-2002,경기도 고양시 덕양구 행신로 155-6,경기도 고양시 덕양구 행신동 621-5 행신로 155-6,37.6194333901,126.8327789692,S
이조약국,031-972-4426,경기도 고양시 덕양구 행신로143번길 72-1,경기도 고양시 덕양구 행신동 634-35 행신로143번길 72-1,37.6226521073,126.8313563838,S
CU행신역점,,경기도 고양시 덕양구 충장로 14,경기도 고양시 덕양구 행신동 762번지 CU행신역점,37.6140350057,126.8344814671,S
삼보부동산,031-970-7733,,경기도 고양시 덕양구 행신동 771 화신로 31,37.6157072339,126.8385343199,S
삼보약국,031-971-3306,,경기도 고양시 덕양구 행신동 771 화신로 31,37.6157072339,126.8385343199,S
동광부동산,031-971-8787,,경기도 고양시 덕양구 행신동 773 (화신로 45 108호),37.6169336850,126.8386480957,S
굿모닝안경,031-938-9412,,경기도 고양시 덕양구 행신동 783 충경로 87,37.6157120577,126.8393954181,S
가나부동산,031-979-7272,경기도 고양시 덕양구 소만로 12,경기도 고양시 덕양구 행신동 788번지 788,37.6141857917,126.8420829353,S
하나로약국,031-971-9052,경기도 고양시 덕양구 충장로 134,경기도 고양시 덕양구 행신동 943-1 충장로 134,37.6243759676,126.8349558866,S
삼천리자전거,031-974-3526,경기도 고양시 덕양구 충장로 118-30,경기도 고양시 덕양구 행신동 983 충장로118-30,37.6203073190,126.8359099832,S
정성가든,031-972-7902,경기도 고양시 덕양구 행주로17번길 82,경기도 고양시 덕양구 행주내동 174-2 행주로 17번길 82,37.6025193598,126.8239803182,S
보디가드,02-6956-9837,경기도 고양시 덕양구 꽃마을로 64,경기도 고양시 덕양구 향동동 523번지 스타허브플러스,37.6005441979,126.8934193107,S
코사마트(새마을점),02-3158-1253,경기도 고양시 덕양구 중앙로78번안길 67,경기도 고양시 덕양구 화전동 159-6번지,37.5999219771,126.8777797971,S
DM존,02-3158-4253,경기도 고양시 덕양구 화랑로 23,경기도 고양시 덕양구 화전동 203-140번지,37.6009221373,126.8709176776,S
코사마트(화전점),02-3158-5162,경기도 고양시 덕양구 화랑로 74-1,경기도 고양시 덕양구 화전동 562-48번지,37.6051012474,126.8686506300,S
이화문구,031-964-6332,경기도 고양시 덕양구 백양로 161,경기도 고양시 덕양구 화정동 885-13번지,37.6400787893,126.8352466409,S
예원문구(웨이팅),031-973-6185,경기도 고양시 덕양구 화신로 319,경기도 고양시 덕양구 화정동 946번지 문정빌딩 화신로 319,37.6326551121,126.8262914158,S
이마트24,031-972-0083,경기도 고양시 덕양구 화신로 234,경기도 고양시 덕양구 화정동 993번지 993 화신로234,37.6305432563,126.8353429206,S
쌍용부동산,031-902-2300,,경기도 고양시 일산동구 마두동 717,37.6591894026,126.7922889575,S
동심어린이집,031-905-5114,,경기도 고양시 일산동구 마두동 734번지 백마마을4단지아파트 734,37.6554161932,126.7928462662,S
삼성공인중개사사무소,031-902-1888,경기도 고양시 일산동구 일산로 241-1,경기도 고양시 일산동구 마두동 755번지 백마마을1단지 A동,37.6571499421,126.7873880300,S
성심공인중개사,031-901-3344,,경기도 고양시 일산동구 마두동 794번지 강촌마을8단지아파트 794,37.6560985387,126.7804825679,S
서포트부동산,031-903-5555,경기도 고양시 일산동구 강석로 141,경기도 고양시 일산동구 마두동 800 마두파킹프라자,37.6532085913,126.7780731156,S
보람미용실(보람헤어라인),031-904-8790,경기도 고양시 일산동구 산두로 87,경기도 고양시 일산동구 마두동 828번지 828,37.6657371461,126.7869884615,S
RSM MOTORS(르노삼성),031-901-4324,경기도 고양시 일산동구 일산로286번길 25-1,경기도 고양시 일산동구 마두동 901-3번지 905호,37.6618724723,126.7873202111,S
고봉이용원,031-917-7314,경기도 고양시 일산동구 문봉길 93,경기도 고양시 일산동구 문봉동 204-3,37.7062637615,126.8133508330,S
이전유통,031-905-8288,,경기도 고양시 일산동구 백석동,,,F
탑모터스,031-922-0031,,경기도 고양시 일산동구 백석동,,,F
민속떡집,031-903-3898,,경기도 고양시 일산동구 백석동 1186,37.6504235918,126.7899689114,S
평화몬테소리,031-905-2929,,경기도 고양시 일산동구 백석동 1190번지 백송마을삼호5단지아파트,37.6505339119,126.7873378951,S
한국야쿠르트 서경영업소,031-904-3424,경기도 고양시 일산동구 강송로113번길 7-6,경기도 고양시 일산동구 백석동 1227-2번지,37.6487086797,126.7865845038,S
이페니아미용실,031-903-7123,경기도 고양시 일산동구 장백로 59,경기도 고양시 일산동구 백석동 1343번지 1343,37.6427845652,126.7861877695,S
진원체육관,031-964-1120,,경기도 고양시 일산동구 사리현동,,,F
CU 식사자이점,070-815-4090,경기도 고양시 일산동구 위시티4로 80,경기도 고양시 일산동구 식사동 1487번지 식사동 1487 위시티 상가 109호,37.6822947770,126.8128573653,S
성우카센터,031-963-6844,경기도 고양시 일산동구 고양대로1037번길 5,경기도 고양시 일산동구 식사동 619-38,37.6723148721,126.8078466806,S
CU일산광장점,031-961-7716,경기도 고양시 일산동구 중앙로1275번길 56,경기도 고양시 일산동구 장항동 769-2번지,37.6592599524,126.7698516080,S
청구약국,031-904-5882,경기도 고양시 일산동구 노루목로 99,경기도 고양시 일산동구 장항동 883 청구(아) 111,37.6494183676,126.7758426308,S
청구약국,031-904-5882,경기도 고양시 일산동구 노루목로 107,경기도 고양시 일산동구 장항동 883번지,37.6500482401,126.7771401521,S
명지키즈태권도,031-904-2343,,경기도 고양시 일산동구 장항동 883번지 호수마을5단지아파트,37.6497058698,126.7756924721,S
CU밤가시점,031-903-7011,,경기도 고양시 일산동구 정발산동,,,F
크린토피아 일산저동점,031-919-4560,,경기도 고양시 일산동구 정발산동,,,F
현대트랜스팩,031-911-9000,경기도 고양시 일산동구 산두로201번길 26,경기도 고양시 일산동구 정발산동 1244-9,37.6739481826,126.7810473128,S
용인대타이곤태권도장,031-916-7677,경기도 고양시 일산동구 산두로 192,경기도 고양시 일산동구 정발산동 1265-4번지,37.6743557866,126.7828577286,S
춘천명동1번지닭갈비,031-912-9989,경기도 고양시 일산동구 대산로11번길 24-2,경기도 고양시 일산동구 정발산동 686-9번지,37.6688484464,126.7739757227,S
코사마트(중산2호점),031-976-8023,,경기도 고양시 일산동구 중산동 1576 중산 12단지,37.6871298334,126.7817593626,S
석사중산태권도,031-976-4538,경기도 고양시 일산동구 탄중로417번길 4,경기도 고양시 일산동구 중산동 1580-3번지 4층,37.6872169373,126.7797850777,S
제일공인중개사사무소,031-975-8949,경기도 고양시 일산동구 하늘마을1로 23,경기도 고양시 일산동구 중산동 1800번지 1800,37.6758186954,126.7877765065,S
CU풍동5단지점,031-902-6025,경기도 고양시 일산동구 숲속마을로 50-38,경기도 고양시 일산동구 풍동 1273번지 에이스아파트 상가동,37.6679347069,126.7987370182,S
홈플러스 익스프레스,031-932-8545,경기도 고양시 일산동구 숲속마을로 40,경기도 고양시 일산동구 풍동 1279-1번지,37.6673855368,126.7988442332,S
해봄약국,031-907-3621,경기도 고양시 일산동구 숲속마을1로 29-30,경기도 고양시 일산동구 풍동 1354,37.6641224258,126.7972762528,S
비룡태권도,031-903-0055,경기도 고양시 일산동구 숲속마을로 49-32,경기도 고양시 일산동구 풍동 그린프라자 3층,37.6658057801,126.7969202302,S
아이태권스쿨,031-901-9399,경기도 고양시 일산동구 숲속마을로 44,경기도 고양시 일산동구 풍동 미래타워 5층,37.6674090687,126.7982544029,S
고양주공태권도체육관,031-906-6007,경기도 고양시 일산동구 숲속마을1로 71,경기도 고양시 일산동구 풍동 샘터 17 빌딩,37.6673637526,126.7997288510,S
(일산서구) GS가좌대우점,031-917-0644,경기도 고양시 일산서구 가좌3로 43,경기도 고양시 일산서구 가좌동 1089 대우2단지 상가 101,37.6881039375,126.7181000538,S
(일산서구) 일산선약국,031-923-0222,경기도 고양시 일산서구 가좌3로 43,경기도 고양시 일산서구 가좌동 1089번지,37.6881039375,126.7181000538,S
엉터리 해장국&amp;곱창전골,031-913-3374,경기도 고양시 일산서구 가좌3로 7-5,경기도 고양시 일산서구 가좌동 308-11번지,37.6854660424,126.7199083366,S
(일산서구)대우부동산,031-923-0041,경기도 고양시 일산서구 가좌3로 47,경기도 고양시 일산서구 가좌동 404번지 선진상가 103호,37.6883361575,126.7177800462,S
(일산서구) 한국야쿠르트 대화점,031-923-2766,,경기도 고양시 일산서구 대화동,,,F
(일산서구) 살롱드보떼,031-919-3052,경기도 고양시 일산서구 성저로 102-11,경기도 고양시 일산서구 대화동 2005-15,37.6848568928,126.7582027790,S
(일산서구) 챔문구점,031-912-1503,경기도 고양시 일산서구 웅비로12번길 5-7,경기도 고양시 일산서구 대화동 2020-2,37.6843786677,126.7566878224,S
(일산서구) 삼성공인중개사사무소,031-917-4894,경기도 고양시 일산서구 일산로 638,경기도 고양시 일산서구 대화동 2032-4 성저빌딩 104호,37.6820829287,126.7585366071,S
(일산서구) 일산태극체육관,031-915-0704,,경기도 고양시 일산서구 대화동 2212번지 성저동익아파트 성저마을동익1단지아파트 성저동익상가 3층,37.6783378672,126.7506810552,S
(일산서구) 파리바게트 대화역점,031-918-1086,경기도 고양시 일산서구 중앙로 1567,경기도 고양시 일산서구 대화동 2222,37.6757306684,126.7474754146,S
사랑웃음가득어린이집,031-915-5445,경기도 고양시 일산서구 일산로803번길 47-15,경기도 고양시 일산서구 대화동 2277-1번지,37.6717719912,126.7500100324,S
(일산서구) CU덕이동문점,031-922-1444,경기도 고양시 일산서구 덕산로 282,경기도 고양시 일산서구 덕이동 1037 (동문2차마트 상가),37.6955276741,126.7341062822,S
(일산서구) GS25시 덕이하이파크점,031-911-3693,경기도 고양시 일산서구 하이파크3로 111,경기도 고양시 일산서구 덕이동 1529번지 하이파크시티일산파밀리에2단지 GS25덕이하이파크점,37.7003663898,126.7521495683,S
타이어테크 덕이점,031-918-5989,경기도 고양시 일산서구 경의로 827,경기도 고양시 일산서구 덕이동 260-10번지,37.6913697101,126.7590452847,S
(일산서구) 자전거 장남감나라,031-921-3323,경기도 고양시 일산서구 덕이로 92,경기도 고양시 일산서구 덕이동 520-5,37.6915272086,126.7497430504,S
(일산서구) CU일산시장점,031-977-9342,,경기도 고양시 일산서구 일산동,,,F
CU후곡6단지점,,경기도 고양시 일산서구 일산로 614,경기도 고양시 일산서구 일산동 1050번지 후곡마을6단지 상가,37.6811417562,126.7608027744,S
(일산서구) 경희대한국태권도장,031-917-5533,경기도 고양시 일산서구 일산로 589,경기도 고양시 일산서구 일산동 1054-1,37.6795411989,126.7628485981,S
(일산서구) 으뜸부동산,031-914-5555,경기도 고양시 일산서구 후곡로 12,경기도 고양시 일산서구 일산동 1058 후곡9단지상가,37.6783727435,126.7633704725,S
(일산서구) 후곡문고,031-925-4300,경기도 고양시 일산서구 후곡로 22,경기도 고양시 일산서구 일산동 1059 지하1층,37.6791234131,126.7637826444,S
태영공인중개사사무소,031-915-9900,경기도 고양시 일산서구 강선로 140,경기도 고양시 일산서구 일산동 1087번지 후곡마을17단지 상가 102호,37.6755522025,126.7692610629,S
(일산서구) 유명식베이커리,031-922-5422,경기도 고양시 일산서구 강선로 168,경기도 고양시 일산서구 일산동 1101 후곡14단지 상가,37.6777604168,126.7707136290,S
(일산서구) 서교경희대스포츠,031-976-0688,경기도 고양시 일산서구 고양대로 726,경기도 고양시 일산서구 일산동 1673-1 5층,37.6827989733,126.7765956225,S
(일산서구) 태화태권도,031-923-0303,경기도 고양시 일산서구 일청로65번길 15,경기도 고양시 일산서구 일산동 1936 2층,37.6895547324,126.7729913003,S
(일산서구) 굳프렌드편의점 로또토토,031-977-3905,경기도 고양시 일산서구 일청로 40-1,경기도 고양시 일산서구 일산동 586-16,37.6874952312,126.7722628547,S
(일산서구) 코사마트일산점,031-976-5732,경기도 고양시 일산서구 탄중로471번길 15,경기도 고양시 일산서구 일산동 587-63 미주상가 103,37.6875042505,126.7737258428,S
(일산서구) 한국태권도아카데미,031-911-8823,경기도 고양시 일산서구 산현로92번길 60,경기도 고양시 일산서구 일산동 이화프라자 307호,37.6894239828,126.7707922349,S
(일산서구) 신일산삼천리대리점,031-912-2531,,경기도 고양시 일산서구 주엽동 101 강선14단지,37.6681763205,126.7615323446,S
(일산서구) CU일산문촌19단지점,031-919-9936,경기도 고양시 일산서구 킨텍스로 282,경기도 고양시 일산서구 주엽동 126번지 신우상가 101호,37.6698571107,126.7522063875,S
(일산서구) 대우벽산공인중개사,031-913-3300,경기도 고양시 일산서구 대산로 102,경기도 고양시 일산서구 주엽동 36 강선1단지 상가,37.6737027064,126.7660701026,S
이마트24 일산주엽점,,,경기도 고양시 일산서구 주엽동 60-0 강선마을9단지화성아파트904동 강선마을 9단지 상가(904동 부근),,,F
(일산서구) 낙원떡방,031-912-1775,,경기도 고양시 일산서구 주엽동 63번지 강선마을LG롯데8단지아파트 강선8단지 상가,37.6700537775,126.7662988041,S
(일산서구) 제일공인중개사사무소,031-914-1100,,경기도 고양시 일산서구 주엽동 강선2단지 상가 제일부동산,,,F
탄현9단지부동산,031-913-4433,경기도 고양시 일산서구 탄현로 74,경기도 고양시 일산서구 탄현동 1473번지 1층,37.6981294419,126.7691302544,S
화랑합기도 특공무술,031-917-2262,경기도 고양시 일산서구 일현로 122,경기도 고양시 일산서구 탄현동 1476번지 동성마을8/단지 상가 3층,37.6976146548,126.7660612975,S
(일산서구) 가위손미용실,031-911-3487,경기도 고양시 일산서구 현중로 62,경기도 고양시 일산서구 탄현동 1479 탄현6단지상가,37.6961356127,126.7673689787,S
런아트 미술학원,031-924-2001,경기도 고양시 일산서구 현중로26번길 15-11,경기도 고양시 일산서구 탄현동 1494-7번지 1층,37.6936558012,126.7686297241,S
(일산서구) 한국야쿠르트 탄현점,031-917-4320,경기도 고양시 일산서구 현중로26번길 37-14,경기도 고양시 일산서구 탄현동 1499-4,37.6940526911,126.7701344009,S
CU일산에듀포레점,,경기도 고양시 일산서구 탄현로 136,경기도 고양시 일산서구 탄현동 1650번지 일산에듀포레푸르지오 1층,37.7029937953,126.7672334156,S
(일산서구) 한울태권도,031-922-2208,,경기도 고양시 일산서구 탄현동 198 일신삼익상가,,,F
(일산서구) 한국체대꿈나무태권도,031-917-4288,,경기도 고양시 일산서구 탄현동 부영아파트 3단지상가,,,F
(일산서구)CU탄현큰마을,031-925-3661,,경기도 고양시 일산서구 탄현동 한일상가 106 107호,,,F
HY 과천점,02-6713-9568,경기도 과천시 찬우물로 6-14,경기도 과천시 갈현동 3-3번지,37.4188981413,126.9853756578,S
과천 갈현 10단지 포레드림아파트 정문 경비 초소,02-3418-7081,경기도 과천시 과천대로1길 11,경기도 과천시 갈현동 599번지,37.4075261509,126.9779054246,S
"과천 갈현 5단지 경비초소 정문, 후문",02-504-0584,,경기도 과천시 갈현동 826번지 과천르센토데시앙,37.4118522920,126.9860340691,S
과천 갈현 7단지 그랑레브데시앙 정문 경비초소,,,경기도 과천시 갈현동 855번지 과천그랑레브데시앙,37.4100029773,126.9877642765,S
과천 갈현동 9단지 제이드자이아파트 정문 경비 초소,02-6951-1612,,경기도 과천시 갈현동 859번지 과천제이드자이,37.4065973847,126.9819231228,S
과천그랑레브데시앙공인중개사 사무소,02-503-1003,경기도 과천시 과천대로2길 6,경기도 과천시 갈현동 860번지,37.4071831930,126.9798513000,S
GS25 과천양지점,02-507-5386,경기도 과천시 양지마을1로 47,경기도 과천시 과천동 458-7번지,37.4498713764,126.9984817985,S
GS25 과천관문점,,경기도 과천시 용마로 2,경기도 과천시 과천동 513-4번지,37.4480596930,126.9942656188,S
이마트24 과천문원점,02-649-6490,경기도 과천시 문원청계4길 4,경기도 과천시 문원동 115-153번지,37.4243175219,127.0091970385,S
2n3 카페,02-507-6941,경기도 과천시 별양상가1로 13,경기도 과천시 별양동 1-16번지 교보빌딩 1층,37.4272355131,126.9915575241,S
과천우체국,02-502-2005,경기도 과천시 별양로 54,경기도 과천시 별양동 10번지,37.4238189497,126.9935697618,S
쌍용부동산,02-502-4839,경기도 과천시 별양로 58-1,경기도 과천시 별양동 15번지 7-2호,37.4239826918,126.9939190186,S
세븐일레븐 산과들점,02-503-2823,경기도 과천시 향촌길 5-1,경기도 과천시 별양동 19-1번지,37.4266855315,126.9957318032,S
굴다리솜틀이불,02-502-5425,경기도 과천시 향촌길 43,경기도 과천시 별양동 34-1번지,37.4256027506,126.9975813188,S
래마안과천센트럴스위트아파트 정문 경비초소,02-507-7795,,경기도 과천시 별양동 3번지 래미안센트럴스위트,37.4316411229,126.9973940227,S
"과천자이아파트 정문,후문 경비초소",,,경기도 과천시 별양동 93번지 과천자이,37.4286504369,126.9999571088,S
CU과천부림점,02-507-0334,경기도 과천시 부림로 21,경기도 과천시 부림동 36-3번지,37.4380352389,126.9981990662,S
과천부림동 7단지 센트럴파크푸르지오써밋아파트 경비초소,,,경기도 과천시 부림동 96번지 과천센트럴파크푸르지오써밋,37.4314166511,126.9997239505,S
CU 과천주암점,02-504-0126,경기도 과천시 추사로 126,경기도 과천시 주암동 127-13번지,37.4566081798,127.0300620491,S
관악식당,,경기도 과천시 희망4길 35,경기도 과천시 중앙동 13-7번지,37.4333249335,126.9906685868,S
오에프티헤어,02-502-3263,경기도 과천시 관문로 166,경기도 과천시 중앙동 67번지 10단지 상가,37.4347884055,126.9956322309,S
청솔부동산,02-504-8989,경기도 과천시 관문로 166,경기도 과천시 중앙동 67번지 10단지 상가 112호,37.4347884055,126.9956322309,S
과천주공10단지 경비초소,02-502-0001,,경기도 과천시 중앙동 67번지 주공아파트,37.4347884055,126.9956322309,S
래미안에코팰리스아파트 경비초소,02-507-0011,,경기도 과천시 중앙동 71번지 래미안에코팰리스,37.4349802246,126.9920137990,S
CU과천래미안점,02-3679-1104,경기도 과천시 관문로 161,경기도 과천시 중앙동 74번지 래미안상가,37.4355136635,126.9944969982,S
CU광명3동점,,,경기도 광명시 광명동 126-90번지 광덕빌라,37.4803254658,126.8598167457,S
한국야쿠르트(구철산점),02-2683-4747,경기도 광명시 오리로984번길 19,경기도 광명시 광명동 143-4번지,37.4814247905,126.8547855045,S
코리아마트(나들가게),02-2613-8786,경기도 광명시 오리로995번길 5,경기도 광명시 광명동 158-845번지,37.4793757608,126.8525976364,S
대성마트(나들가게),02-2682-8898,경기도 광명시 광명로887번길 21,경기도 광명시 광명동 189-3번지,37.4790902136,126.8514803956,S
드림모바일,02-6271-7775,경기도 광명시 광명로865번안길 9-1,경기도 광명시 광명동 208-28번지,37.4779508340,126.8508116439,S
우정e마트,02-2689-1254,경기도 광명시 너부대로 40,경기도 광명시 광명동 211-1번지,37.4777825029,126.8497047254,S
학교앞문구점,02-2615-2332,경기도 광명시 너부대로35번길 15-14,경기도 광명시 광명동 226-2번지,37.4776877896,126.8472399811,S
한국야쿠르트(신)철산점,02-2689-9525,,경기도 광명시 광명동 276-44번지 금반석시티빌11차,37.4761438575,126.8500355962,S
LG베스트샵철산본점,02-2688-4334,경기도 광명시 오리로 908,경기도 광명시 광명동 33-72번지,37.4774531907,126.8620466802,S
OK할인마트,,경기도 광명시 새터로 49,경기도 광명시 광명동 334-23번지,37.4726053784,126.8540244478,S
광명문구,02-2616-3598,경기도 광명시 오리로963번길 37,경기도 광명시 광명동 49-76번지,37.4756554014,126.8546541545,S
문방사우,02-2616-0181,,경기도 광명시 광명동 726-4번지 현대빌라,37.4672247595,126.8524649627,S
이마트24R광명광문점,,,경기도 광명시 광명동 737-4번지 신세계빌라,37.4672812149,126.8512544807,S
혜민약국,02-2613-5785,경기도 광명시 도덕로 36,경기도 광명시 광명동 738-4번지,37.4682668117,126.8518226975,S
GS25편의점(광문점),-1644-5425,경기도 광명시 도덕로 18,경기도 광명시 광명동 743번지,37.4677610263,126.8499950978,S
세븐일레븐(광명교육청점),-1577-0711,경기도 광명시 광명로 773,경기도 광명시 광명동 754번지,37.4692202000,126.8481730781,S
타이어테크(광명점),02-2617-2610,경기도 광명시 광명로 476,경기도 광명시 노온사동 409-39,37.4430045361,126.8474170597,S
